Data;Obitos Acumulados;Projeção
28/03/2020;4;4
29/03/2020;4;4
30/03/2020;4;4
31/03/2020;4;4
01/04/2020;5;5
02/04/2020;6;6
03/04/2020;6;6
04/04/2020;10;10
05/04/2020;14;14
06/04/2020;16;16
07/04/2020;18;18
08/04/2020;22;22
09/04/2020;27;27
10/04/2020;32;32
11/04/2020;34;34
12/04/2020;37;37
13/04/2020;46;46
14/04/2020;49;49
15/04/2020;62;62
16/04/2020;70;70
17/04/2020;85;85
18/04/2020;94;94
19/04/2020;100;100
20/04/2020;106;106
21/04/2020;113;113
22/04/2020;124;124
23/04/2020;136;136
24/04/2020;151;151
25/04/2020;162;162
26/04/2020;182;182
27/04/2020;197;197
28/04/2020;219;219
29/04/2020;238;238
30/04/2020;250;250
01/05/2020;257;257
02/05/2020;267;267
03/05/2020;273;273
04/05/2020;295;295
05/05/2020;320;320
06/05/2020;337;337
07/05/2020;354;354
08/05/2020;380;380
09/05/2020;393;393
10/05/2020;415;415
11/05/2020;425;425
12/05/2020;450;450
13/05/2020;479;479
14/05/2020;507;507
15/05/2020;538;538
16/05/2020;573;573
17/05/2020;596;596
18/05/2020;645;645
19/05/2020;;686
20/05/2020;;727
21/05/2020;;764
22/05/2020;;803
23/05/2020;;838
24/05/2020;;873
25/05/2020;;916
26/05/2020;;972
27/05/2020;;1030
28/05/2020;;1082
29/05/2020;;1137
30/05/2020;;1185
