Data;Casos Acumulados;Projeção
12/03/2020;2;2
13/03/2020;2;2
14/03/2020;2;2
15/03/2020;2;2
16/03/2020;2;2
17/03/2020;16;16
18/03/2020;16;16
19/03/2020;28;28
20/03/2020;30;30
21/03/2020;30;30
22/03/2020;37;37
23/03/2020;42;42
24/03/2020;42;42
25/03/2020;46;46
26/03/2020;48;48
27/03/2020;56;56
28/03/2020;68;68
29/03/2020;73;73
30/03/2020;78;78
31/03/2020;87;87
01/04/2020;95;95
02/04/2020;106;106
03/04/2020;136;136
04/04/2020;176;176
05/04/2020;201;201
06/04/2020;223;223
07/04/2020;352;352
08/04/2020;401;401
09/04/2020;555;555
10/04/2020;684;684
11/04/2020;816;816
12/04/2020;960;960
13/04/2020;1154;1154
14/04/2020;1284;1284
15/04/2020;1484;1484
16/04/2020;1683;1683
17/04/2020;2006;2006
18/04/2020;2193;2193
19/04/2020;2459;2459
20/04/2020;2690;2690
21/04/2020;2908;2908
22/04/2020;3298;3298
23/04/2020;3519;3519
24/04/2020;3999;3999
25/04/2020;4507;4507
26/04/2020;4898;4898
27/04/2020;5358;5358
28/04/2020;5724;5724
29/04/2020;6194;6194
30/04/2020;6876;6876
01/05/2020;7334;7334
02/05/2020;8145;8145
03/05/2020;8643;8643
04/05/2020;8863;8863
05/05/2020;9325;9325
06/05/2020;9881;9881
07/05/2020;10824;10824
08/05/2020;11587;11587
09/05/2020;12470;12470
10/05/2020;13275;13275
11/05/2020;13768;13768
12/05/2020;14309;14309
13/05/2020;14901;14901
14/05/2020;15588;15588
15/05/2020;16209;16209
16/05/2020;18488;18488
17/05/2020;19452;19452
18/05/2020;20094;20094
19/05/2020;+;20822
20/05/2020;+;21571
21/05/2020;+;22503
22/05/2020;+;23451
23/05/2020;+;24632
24/05/2020;+;25576
25/05/2020;+;26250
26/05/2020;+;27086
27/05/2020;+;27945
28/05/2020;+;29009
29/05/2020;+;30090
30/05/2020;+;31432
