Data;Casos Acumulados;Projeção
04/04/2020;119;0
05/04/2020;139;0
06/04/2020;146;0
07/04/2020;221;0
08/04/2020;254;0
09/04/2020;340;0
10/04/2020;413;0
11/04/2020;486;0
12/04/2020;557;0
13/04/2020;672;0
14/04/2020;733;0
15/04/2020;857;0
16/04/2020;958;0
17/04/2020;1136;0
18/04/2020;1255;0
19/04/2020;1399;0
20/04/2020;1552;0
21/04/2020;1687;0
22/04/2020;1904;0
23/04/2020;2062;0
24/04/2020;2266;0
25/04/2020;2534;0
26/04/2020;2722;0
27/04/2020;2973;0
28/04/2020;3158;0
29/04/2020;3425;0
30/04/2020;3780;0
01/05/2020;4020;0
02/05/2020;4453;0
03/05/2020;4702;0
04/05/2020;4807;0
05/05/2020;4989;0
06/05/2020;5294;0
07/05/2020;5775;0
08/05/2020;6133;0
09/05/2020;6588;0
10/05/2020;6984;0
11/05/2020;7224;0
12/05/2020;7477;0
13/05/2020;7757;0
14/05/2020;8096;0
15/05/2020;8352;0
16/05/2020;9413;0
17/05/2020;9772;0
18/05/2020;10047;0
19/05/2020;;10451
20/05/2020;;10956
21/05/2020;;11590
22/05/2020;;12193
23/05/2020;;13051
24/05/2020;;13670
25/05/2020;;14211
26/05/2020;;14767
27/05/2020;;15462
28/05/2020;;16336
29/05/2020;;17165
30/05/2020;;18347
