Data;Obitos Acumulados;Projeção
25/03/2020;1;1
26/03/2020;3;3
27/03/2020;4;4
28/03/2020;5;5
29/03/2020;5;5
30/03/2020;6;6
31/03/2020;6;6
01/04/2020;8;8
02/04/2020;9;9
03/04/2020;10;10
04/04/2020;14;14
05/04/2020;21;21
06/04/2020;30;30
07/04/2020;34;34
08/04/2020;46;46
09/04/2020;56;56
10/04/2020;65;65
11/04/2020;72;72
12/04/2020;85;85
13/04/2020;102;102
14/04/2020;115;115
15/04/2020;143;143
16/04/2020;160;160
17/04/2020;186;186
18/04/2020;205;205
19/04/2020;216;216
20/04/2020;234;234
21/04/2020;260;260
22/04/2020;282;282
23/04/2020;312;312
24/04/2020;352;352
25/04/2020;381;381
26/04/2020;415;415
27/04/2020;450;450
28/04/2020;508;508
29/04/2020;538;538
30/04/2020;565;565
01/05/2020;603;603
02/05/2020;628;628
03/05/2020;652;652
04/05/2020;691;691
05/05/2020;749;749
06/05/2020;803;803
07/05/2020;845;845
08/05/2020;927;927
09/05/2020;972;972
10/05/2020;1047;1047
11/05/2020;1087;1087
12/05/2020;1157;1157
13/05/2020;1224;1224
14/05/2020;1298;1298
15/05/2020;1381;1381
16/05/2020;1461;1461
17/05/2020;;1516
18/05/2020;;1640
19/05/2020;;1745
20/05/2020;;1867
21/05/2020;;1977
22/05/2020;;2124
23/05/2020;;2230
