Saida,Saida_Estimada,Erro
1,1,0
1,1,0
4,1,3
5,4,1
6,5,1
6,6,0
10,6,4
10,10,0
10,10,0
15,10,5
16,15,1
16,16,0
16,16,0
16,16,0
16,16,0
16,16,0
19,16,3
20,20,0
23,21,2
25,24,1
27,26,1
32,28,4
32,33,-1
36,33,3
36,38,-2
39,38,1
42,41,1
42,44,-2
44,44,0
44,46,-2
45,46,-1
46,47,-1
48,48,0
53,50,3
71,56,15
83,75,8
86,87,-1
92,91,1
117,97,20
124,123,1
144,131,13
153,152,1
159,162,-3
197,168,29
280,208,72
337,296,41
447,357,90
517,473,44
601,547,54
730,636,94
772,773,-1
898,817,81
998,951,47
1214,1057,157
1438,1286,152
1588,1523,65
1771,1682,89
1800,1876,-76
2032,1907,125
2268,2152,116
2494,2402,92
2868,2642,226
3135,3038,97
3343,3321,22
3566,3541,25
3967,3778,189
4277,4202,75
4734,4531,203
4922,5015,-93
5131,5214,-83
5314,5436,-122
5448,5630,-182
0,6003,0
0,6399,0
0,6818,0
0,7263,0
0,7734,0
0,8232,0
0,8761,0
0,9321,0
0,9914,0
0,10542,0
0,11020,0
0,11527,0
0,12064,0
0,12632,0
0,13234,0
0,13873,0
0,14549,0
