Saida,Saida_Estimada,Erro
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
4,1,3,
5,4,1,
7,5,2,
7,7,0,
7,7,0,
9,7,2,
11,9,2,
11,11,0,
11,11,0,
14,11,3,
17,14,3,
17,18,-1,
18,18,0,
18,19,-1,
18,19,-1,
22,19,3,
23,23,0,
28,24,4,
31,29,2,
32,33,-1,
37,34,3,
37,39,-2,
45,39,6,
48,48,0,
48,51,-3,
50,51,-1,
72,53,19,
82,77,5,
89,87,2,
110,95,15,
132,117,15,
159,141,18,
171,170,1,
210,183,27,
243,224,19,
324,260,64,
413,346,67,
501,442,59,
554,536,18,
643,592,51,
777,688,89,
957,831,126,
1044,1024,20,
1226,1117,109,
1372,1312,60,
1441,1468,-27,
1538,1542,-4,
1606,1646,-40,
1703,1719,-16,
1867,1822,45,
2033,1998,35,
2172,2176,-4,
2258,2324,-66,
2343,2416,-73,
2580,2507,73,
2761,2761,0,
2972,2955,17,
3212,3181,31,
3593,3438,155,
3816,3845,-29,
4031,4084,-53,
4316,4314,2,
4437,4619,-182,
4916,4749,167,
5302,5262,40,
5630,5675,-45,
6214,6026,188,
6682,6651,31,
0,7005,0,
0,7384,0,
0,7790,0,
0,8225,0,
0,8690,0,
0,9188,0,
0,9721,0,
