Saida,Saida_Estimada,Erro
5,5,0,
9,5,4,
20,9,11,
55,20,35,
68,57,11,
112,70,42,
163,116,47,
182,170,12,
200,189,11,
235,208,27,
282,245,37,
314,294,20,
348,327,21,
372,362,10,
390,388,2,
444,406,38,
550,463,87,
627,573,54,
730,653,77,
823,761,62,
1013,858,155,
1051,1056,-5,
1291,1096,195,
1425,1346,79,
1478,1486,-8,
1582,1541,41,
1676,1650,26,
1800,1748,52,
2005,1877,128,
2157,2091,66,
2386,2249,137,
2684,2488,196,
3034,2799,235,
3252,3164,88,
3482,3391,91,
3716,3631,85,
3910,3875,35,
4598,4078,520,
4800,4795,5,
5421,5006,415,
5833,5654,179,
6726,6084,642,
6918,7015,-97,
7267,7215,52,
7606,7579,27,
7879,7933,-54,
8231,8218,13,
8370,8585,-215,
11040,8730,2310,
11470,11515,-45,
12304,11963,341,
13888,12833,1055,
14956,14485,471,
15879,15599,280,
16692,16562,130,
17599,17410,189,
18412,18356,56,
19156,19204,-48,
21077,19980,1097,
22490,21984,506,
23795,23457,338,
24255,24819,-564,
26363,25298,1065,
28112,27497,615,
30560,29321,1239,
31413,31875,-462,
34573,32764,1809,
35122,36060,-938,
35595,36633,-1038,
36185,37126,-941,
0,38007,0,
0,38926,0,
0,39886,0,
0,40886,0,
0,41929,0,
0,43017,0,
0,44153,0,
