Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,2,2,0
2020-03-29,2,2,0
2020-03-30,4,4,0
2020-03-31,6,6,0
2020-04-01,6,6,0
2020-04-02,6,6,0
2020-04-03,5,5,0
2020-04-04,6,6,0
2020-04-05,6,6,0
2020-04-06,9,9,0
2020-04-07,11,11,0
2020-04-08,13,13,0
2020-04-09,13,13,0
2020-04-10,13,14,1
2020-04-11,14,14,0
2020-04-12,14,15,1
2020-04-13,15,15,0
2020-04-14,15,18,3
2020-04-15,19,19,0
2020-04-16,19,20,1
2020-04-17,20,21,1
2020-04-18,21,21,0
2020-04-19,21,21,0
2020-04-20,21,24,3
2020-04-21,25,28,3
2020-04-22,29,28,-1
2020-04-23,28,37,9
2020-04-24,41,39,-2
2020-04-25,40,44,4
2020-04-26,46,46,0
2020-04-27,47,50,3
2020-04-28,52,66,14
2020-04-29,73,77,4
2020-04-30,82,112,30
2020-05-01,127,123,-4
2020-05-02,128,137,9
2020-05-03,144,139,-5
2020-05-04,141,141,0
2020-05-05,143,155,12
2020-05-06,162,164,2
2020-05-07,169,192,23
2020-05-08,205,200,-5
2020-05-09,205,212,7
2020-05-10,219,214,-5
2020-05-11,217,215,-2
2020-05-12,218,222,4
2020-05-13,227,245,18
2020-05-14,257,294,37
2020-05-15,317,304,-13
2020-05-16,312,307,-5
2020-05-17,312,317,5
2020-05-18,325,321,-4
2020-05-19,326,348,22
2020-05-20,363,354,-9
2020-05-21,361,365,4
2020-05-22,374,373,-1
2020-05-23,381,459,78
2020-05-24,499,524,25
2020-05-25,556,545,-11
2020-05-26,560,569,9
2020-05-27,586,589,3
2020-05-28,604,621,17
2020-05-29,641,662,21
2020-05-30,687,689,2
2020-05-31,708,703,-5
2020-06-01,717,725,8
2020-06-02,743,732,-11
2020-06-03,744,798,54
2020-06-04,834,863,29
2020-06-05,900,947,47
2020-06-06,992,1012,20
2020-06-07,1051,1065,14
2020-06-08,1100,1085,-15
2020-06-09,1107,1165,58
2020-06-10,1212,1209,-3
2020-06-11,1242,1288,46
2020-06-12,1336,1358,22
2020-06-13,1403,1442,39
2020-06-14,1494,1451,-43
2020-06-15,1474,1456,-18
2020-06-16,1477,1552,75
2020-06-17,1610,1565,-45
2020-06-18,1591,1574,-17
2020-06-19,1598,1869,271
2020-06-20,2010,1973,-37
2020-06-21,2040,2008,-32
2020-06-22,2048,2052,4
2020-06-23,2096,2156,60
2020-06-24,2225,2243,18
2020-06-25,2307,2325,18
2020-06-26,2388,2413,25
2020-06-27,2480,2487,7
2020-06-28,2549,2617,68
2020-06-29,2703,2648,-55
2020-06-30,2695,2743,48
2020-07-01,2817,2886,69
2020-07-02,2981,3041,60
2020-07-03,3142,3213,71
2020-07-04,3323,3230,-93
2020-07-05,3280,3388,108
2020-07-06,3495,3447,-48
2020-07-07,3516,3773,257
2020-07-08,3952,3997,45
2020-07-09,4139,4282,143
2020-07-10,4451,4562,111
2020-07-11,4733,4822,89
2020-07-12,4989,4948,-41
2020-07-13,5064,4998,-66
2020-07-14,5084,5134,50
2020-07-15,5256,5317,61
2020-07-16,5460,5674,214
2020-07-17,5890,5811,-79
2020-07-18,5943,6009,66
2020-07-19,6167,6040,-127
2020-07-20,6133,6072,-61
2020-07-21,6166,6128,-38
2020-07-22,6232,6464,232
2020-07-23,6683,6747,64
2020-07-24,6949,7023,74
2020-07-25,7226,7390,164
2020-07-26,7634,7482,-152
2020-07-27,7618,7534,-84
2020-07-28,7655,7534,-121
2020-07-29,7635,7940,305
2020-07-30,8206,8124,-82
2020-07-31,8305,8423,118
2020-08-01,8654,8632,-22
2020-08-02,8830,8709,-121
2020-08-03,8856,8762,-94
2020-08-04,8900,9024,124
2020-08-05,9074.12,9088,13.8847
2020-08-06,9264.8,9257,-7.80217
2020-08-07,9464.58,9445,-19.5835
2020-08-08,9670.64,9679,8.36416
2020-08-09,9881.93,9811,-70.9312
2020-08-10,10098.1,9859,-239.135
2020-08-11,10319.2,10047,-272.182
2020-08-12,10545.1,10226,-319.111
2020-08-13,10776,10479,-297.003
2020-08-14,11012,10685,-326.957
2020-08-15,11253.1,10904,-349.08
2020-08-16,11499.5,10923,-576.484
2020-08-17,11751.3,11019,-732.283
2020-08-18,12008.6,11205,-803.596
2020-08-19,12271.5,11392,-879.544
2020-08-20,12540.2,8.90068e-308,-12540.2
