amostra_n;Saida;Saida_Estimada;Erro
1,1,
1,1,
1,1,
1,1,
1,1,
1,1,
1,1,
1,1,
1,1,
1,1,
1,1,
4,5,
5,5,
7,8,
7,7,
7,7,
9,10,
11,12,
11,11,
11,11,
28,35,
34,37,
34,37,
36,39,
36,37,
36,37,
45,50,
46,47,
56,63,
62,66,
64,68,
74,81,
74,76,
90,101,
96,101,
96,102,
100,106,
144,166,
164,177,
178,196,
220,247,
264,292,
318,357,
342,370,
420,474,
486,532,
648,747,
826,934,
1003,1132,
1114,1224,
1286,1428,
1554,1732,
1914,2149,
2089,2271,
2452,2741,
2744,2983,
2882,3097,
3076,3314,
3212,3406,
3406,3641,
3734,4024,
4066,4376,
4344,4664,
4516,4804,
4686,4974,
5160,5569,
5522,5893,
5944,6405,
6424,6908,
7186,7818,
7632,8159,
8062,8652,
8632,9250,
8874,9366,
0,10007,
0,10673.5,
0,11411.2,
0,12228.2,
0,13110.4,
0,14061.6,
0,15087.6,
