Data,CAMiA_Al
2020-03-21,1.0
2020-03-22,2.0
2020-03-23,2.0
2020-03-24,8.0
2020-03-25,8.0
2020-03-26,10.0
2020-03-27,13.0
2020-03-28,28.0
2020-03-29,32.0
2020-03-30,46.0
2020-03-31,62.0
2020-04-01,106.0
2020-04-02,142.0
2020-04-03,162.0
2020-04-04,176.0
2020-04-05,192.0
2020-04-06,266.0
2020-04-07,344.0
2020-04-08,460.0
2020-04-09,546.0
2020-04-10,586.0
2020-04-11,688.0
2020-04-12,796.0
2020-04-13,890.0
2020-04-14,956.0
2020-04-15,1260.0
2020-04-16,1390.0
2020-04-17,1594.0
2020-04-18,2080.0
2020-04-19,2410.0
2020-04-20,2640.0
2020-04-21,2792.0
2020-04-22,3208.0
2020-04-23,3514.0
2020-04-24,3902.0
2020-04-25,4210.0
2020-04-26,4446.0
2020-04-27,4820.0
2020-04-28,5056.0
2020-04-29,5608.0
2020-04-30,6380.0
2020-05-01,7012.0
2020-05-02,7610.0
2020-05-03,8080.0
2020-05-04,8454.0
2020-05-05,9060.0
2020-05-06,10056.0
2020-05-07,10778.0
2020-05-08,11818.0
2020-05-09,13530.0
2020-05-10,15198.0
2020-05-11,16288.0
2020-05-12,17052.0
2020-05-13,18224.0
2020-05-14,19602.0
2020-05-15,21478.0
2020-05-16,23184.0
2020-05-17,24984.0
2020-05-18,26476.0
2020-05-19,28396.0
2020-05-20,30228.0
