Saida,Saida_Estimada,Erro
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
3,1,2
4,3,1
5,4,1
5,5,0
6,5,1
6,6,0
8,6,2
9,8,1
10,9,1
14,10,4
21,14,7
30,21,9
34,31,3
46,35,11
56,47,9
65,58,7
72,67,5
85,75,10
102,88,14
115,106,9
143,119,24
160,149,11
186,166,20
205,194,11
216,213,3
234,225,9
260,244,16
282,271,11
312,294,18
352,325,27
381,367,14
415,397,18
450,432,18
508,469,39
538,530,8
565,561,4
603,589,14
628,629,-1
652,655,-3
691,680,11
749,720,29
803,781,22
845,837,8
927,881,46
972,967,5
1047,1014,33
1087,1092,-5
1157,1134,23
1224,1207,17
1298,1277,21
1381,1354,27
1461,1440,21
1516,1524,-8
1640,1581,59
1741,1711,30
1834,1816,18
1925,1913,12
2057,2008,49
2144,2146,-2
2200,2236,-36
2248,2295,-47
0,2408,0
0,2527,0
0,2651,0
0,2781,0
0,2916,0
0,3057,0
0,3204,0
0,3357,0
0,3517,0
0,3684,0
0,3801,0
0,3923,0
0,4050,0
0,4182,0
0,4321,0
0,4465,0
0,4616,0
