Saida,Saida_Estimada,Erro
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
1,0,1,
1,1,0,
1,1,0,
2,1,1,
4,2,2,
4,4,0,
4,4,0,
4,4,0,
7,4,3,
11,7,4,
11,11,0,
13,11,2,
13,13,0,
16,13,3,
21,16,5,
24,21,3,
26,24,2,
26,27,-1,
29,27,2,
32,30,2,
33,33,0,
39,34,5,
40,40,0,
44,41,3,
46,45,1,
49,47,2,
50,51,-1,
53,52,1,
58,55,3,
62,60,2,
67,64,3,
74,69,5,
76,77,-1,
79,79,0,
85,82,3,
92,88,4,
101,95,6,
114,105,9,
124,118,6,
135,129,6,
139,140,-1,
154,144,10,
157,160,-3,
160,163,-3,
170,166,4,
183,177,6,
194,190,4,
207,201,6,
219,215,4,
230,228,2,
245,239,6,
248,255,-7,
258,258,0,
272,268,4,
279,283,-4,
286,290,-4,
0,303,0,
0,317,0,
0,332,0,
0,348,0,
0,364,0,
0,380,0,
0,398,0,
0,416,0,
0,435,0,
0,454,0,
0,465,0,
0,475,0,
0,486,0,
0,498,0,
0,510,0,
0,523,0,
0,536,0,
