Data;OACiE_Al
'2020-03-17';0.0
'2020-03-18';0.0
'2020-03-19';0.0
'2020-03-20';0.0
'2020-03-21';0.0
'2020-03-22';0.0
'2020-03-23';0.0
'2020-03-24';0.0
'2020-03-25';0.0
'2020-03-26';3.0
'2020-03-27';3.0
'2020-03-28';8.0
'2020-03-29';10.0
'2020-03-30';10.0
'2020-03-31';14.0
'2020-04-01';17.0
'2020-04-02';40.0
'2020-04-03';44.0
'2020-04-04';44.0
'2020-04-05';52.0
'2020-04-06';60.0
'2020-04-07';72.0
'2020-04-08';96.0
'2020-04-09';112.0
'2020-04-10';125.0
'2020-04-11';141.0
'2020-04-12';150.0
'2020-04-13';191.0
'2020-04-14';218.0
'2020-04-15';240.0
'2020-04-16';249.0
'2020-04-17';298.0
'2020-04-18';356.0
'2020-04-19';375.0
'2020-04-20';404.0
'2020-04-21';439.0
'2020-04-22';471.0
'2020-04-23';536.0
'2020-04-24';577.0
'2020-04-25';636.0
'2020-04-26';686.0
'2020-04-27';780.0
'2020-04-28';819.0
'2020-04-29';890.0
'2020-04-30';964.0
'2020-05-01';1031.0
'2020-05-02';1252.0
'2020-05-03';1340.0
'2020-05-04';1424.0
'2020-05-05';1590.0
'2020-05-06';1696.0
'2020-05-07';1806.0
'2020-05-08';1932.0
'2020-05-09';2124.0
'2020-05-10';2228.0
'2020-05-11';2378.0
'2020-05-12';2560.0
