Data;CARiN_Al
'2020-03-13';1.0
'2020-03-14';1.0
'2020-03-15';1.0
'2020-03-16';1.0
'2020-03-17';1.0
'2020-03-18';1.0
'2020-03-19';1.0
'2020-03-20';1.0
'2020-03-21';6.0
'2020-03-22';9.0
'2020-03-23';13.0
'2020-03-24';13.0
'2020-03-25';14.0
'2020-03-26';19.0
'2020-03-27';28.0
'2020-03-28';90.0
'2020-03-29';136.0
'2020-03-30';154.0
'2020-03-31';164.0
'2020-04-01';184.0
'2020-04-02';211.0
'2020-04-03';352.0
'2020-04-04';426.0
'2020-04-05';484.0
'2020-04-06';492.0
'2020-04-07';508.0
'2020-04-08';522.0
'2020-04-09';522.0
'2020-04-10';526.0
'2020-04-11';578.0
'2020-04-12';605.0
'2020-04-13';678.0
'2020-04-14';752.0
'2020-04-15';798.0
'2020-04-16';800.0
'2020-04-17';926.0
'2020-04-18';1032.0
'2020-04-19';1087.0
'2020-04-20';1190.0
'2020-04-21';1216.0
'2020-04-22';1292.0
'2020-04-23';1416.0
'2020-04-24';1508.0
'2020-04-25';1562.0
'2020-04-26';1650.0
'2020-04-27';1664.0
'2020-04-28';1714.0
'2020-04-29';2172.0
'2020-04-30';2354.0
'2020-05-01';2594.0
'2020-05-02';2732.0
'2020-05-03';2784.0
'2020-05-04';2842.0
'2020-05-05';3072.0
'2020-05-06';3148.0
'2020-05-07';3478.0
'2020-05-08';3642.0
'2020-05-09';3838.0
'2020-05-10';3856.0
'2020-05-11';3978.0
'2020-05-12';4066.0
