Data,CAMiACixiai
43934.0,1.0
43935.0,2.0
43936.0,2.0
43937.0,2.0
43938.0,2.0
43939.0,2.0
43940.0,7.0
43941.0,7.0
43942.0,7.0
43943.0,7.0
43944.0,7.0
43945.0,7.0
43946.0,7.0
43947.0,13.0
43948.0,15.0
43949.0,15.0
43950.0,16.0
43951.0,16.0
43952.0,18.0
43953.0,26.0
43954.0,27.0
43955.0,27.0
43956.0,29.0
43957.0,29.0
43958.0,34.0
43959.0,39.0
43960.0,43.0
43961.0,47.0
43962.0,47.0
43963.0,47.0
43964.0,49.0
43965.0,53.0
43966.0,53.0
43967.0,56.0
43968.0,62.0
43969.0,68.0
43970.0,68.0
43971.0,70.0
43972.0,71.0
43973.0,71.0
43974.0,86.0
43975.0,91.0
43976.0,92.0
43977.0,96.0
43978.0,96.0
43979.0,96.0
43980.0,96.0
43981.0,96.0
43982.0,146.0
43983.0,146.0
43984.0,163.0
43985.0,164.0
43986.0,284.0
