Data,CNEiS_An
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,8
2020-03-19,2
2020-03-20,2
2020-03-21,13
2020-03-22,0
2020-03-23,3
2020-03-24,4
2020-03-25,6
2020-03-26,0
2020-03-27,8
2020-03-28,6
2020-03-29,7
2020-03-30,12
2020-03-31,12
2020-04-01,12
2020-04-02,24
2020-04-03,19
2020-04-04,14
2020-04-05,13
2020-04-06,28
2020-04-07,15
2020-04-08,18
2020-04-09,46
2020-04-10,27
2020-04-11,49
2020-04-12,34
2020-04-13,47
2020-04-14,33
2020-04-15,94
2020-04-16,197
2020-04-17,102
2020-04-18,96
2020-04-19,147
2020-04-20,69
2020-04-21,44
2020-04-22,101
2020-04-23,50
2020-04-24,18
2020-04-25,214
2020-04-26,108
2020-04-27,93
2020-04-28,78
2020-04-29,233
2020-04-30,358
2020-05-01,197
2020-05-02,286
2020-05-03,138
2020-05-04,140
2020-05-05,176
2020-05-06,166
2020-05-07,270
2020-05-08,404
2020-05-09,170
2020-05-10,187
2020-05-11,220
2020-05-12,268
2020-05-13,314
2020-05-14,412
2020-05-15,385
2020-05-16,397
2020-05-17,149
2020-05-18,413
2020-05-19,536
2020-05-20,399
2020-05-21,786
2020-05-22,642
2020-05-23,398
2020-05-24,89
2020-05-25,358
2020-05-26,524
2020-05-27,595
2020-05-28,719
2020-05-29,700
2020-05-30,534
2020-05-31,253
