Data,NERNRSCA24007
2020-03-27,0.0
2020-03-28,29.0
2020-03-29,45.0
2020-03-30,49.0
2020-03-31,54.0
2020-04-01,61.0
2020-04-02,71.0
2020-04-03,109.0
2020-04-04,134.0
2020-04-05,153.0
2020-04-06,158.0
2020-04-07,162.0
2020-04-08,160.0
2020-04-09,160.0
2020-04-10,167.0
2020-04-11,188.0
2020-04-12,198.0
2020-04-13,216.0
2020-04-14,236.0
2020-04-15,251.0
2020-04-16,252.0
2020-04-17,300.0
2020-04-18,340.0
2020-04-19,374.0
2020-04-20,394.0
2020-04-21,402.0
2020-04-22,428.0
2020-04-23,474.0
2020-04-24,509.0
2020-04-25,524.0
2020-04-26,557.0
2020-04-27,557.0
2020-04-28,568.0
2020-04-29,697.0
2020-04-30,762.0
2020-05-01,837.0
2020-05-02,886.0
2020-05-03,899.0
2020-05-04,917.0
2020-05-05,952.0
2020-05-06,972.0
2020-05-07,1063.0
2020-05-08,1108.0
2020-05-09,1171.0
2020-05-10,1171.0
2020-05-11,1221.0
2020-05-12,1215.0
2020-05-13,1365.0
2020-05-14,1440.0
2020-05-15,1565.0
2020-05-16,1699.0
2020-05-17,1782.0
2020-05-18,1803.0
2020-05-19,1922.0
2020-05-20,2092.0
2020-05-21,2220.0
2020-05-22,2311.0
2020-05-23,2498.0
2020-05-24,2558.0
2020-05-25,2582.0
2020-05-26,2998.0
2020-05-27,3076.0
2020-05-28,3076.0
2020-05-29,3540.0
2020-05-30,4144.0
2020-05-31,4144.0
2020-06-01,4425.0
2020-06-02,4596.0
2020-06-03,5044.0
2020-06-04,5109.0
2020-06-05,5208.0
2020-06-06,5213.0
2020-06-07,5214.0
2020-06-08,6045.0
2020-06-09,6134.0
2020-06-10,6417.0
2020-06-11,7277.0
2020-06-12,7425.0
2020-06-13,7648.0
2020-06-14,7887.0
2020-06-15,7904.0
2020-06-16,8487.0
2020-06-17,8487.0
2020-06-18,8872.0
2020-06-19,8957.0
2020-06-20,10868.0
2020-06-21,10898.0
2020-06-22,11310.0
2020-06-23,11368.0
2020-06-24,12303.0
2020-06-25,12851.0
2020-06-26,13455.0
2020-06-27,13724.0
2020-06-28,13843.0
2020-06-29,16480.0
2020-06-30,16825.0
2020-07-01,17775.0
2020-07-02,18348.0
2020-07-03,18622.0
2020-07-04,19060.0
2020-07-05,19266.0
2020-07-06,19400.0
2020-07-07,19891.0
2020-07-08,20281.0
2020-07-09,20553.0
2020-07-10,21169.0
2020-07-11,21351.0
2020-07-12,21750.0
2020-07-13,21936.0
2020-07-14,22225.0
2020-07-15,22366.0
2020-07-16,22572.0
2020-07-17,22707.0
2020-07-18,23915.0
2020-07-19,24080.0
2020-07-20,24140.0
