Data,SESPRSOA35072
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,6.0
2020-04-05,7.0
2020-04-06,7.0
2020-04-07,8.0
2020-04-08,9.0
2020-04-09,9.0
2020-04-10,9.0
2020-04-11,9.0
2020-04-12,9.0
2020-04-13,9.0
2020-04-14,10.0
2020-04-15,10.0
2020-04-16,13.0
2020-04-17,12.0
2020-04-18,16.0
2020-04-19,16.0
2020-04-20,16.0
2020-04-21,16.0
2020-04-22,18.0
2020-04-23,22.0
2020-04-24,25.0
2020-04-25,25.0
2020-04-26,26.0
2020-04-27,30.0
2020-04-28,32.0
2020-04-29,38.0
2020-04-30,40.0
2020-05-01,42.0
2020-05-02,43.0
2020-05-03,44.0
2020-05-04,45.0
2020-05-05,48.0
2020-05-06,49.0
2020-05-07,48.0
2020-05-08,57.0
2020-05-09,60.0
2020-05-10,60.0
2020-05-11,61.0
2020-05-12,66.0
2020-05-13,68.0
2020-05-14,71.0
2020-05-15,77.0
2020-05-16,79.0
2020-05-17,81.0
2020-05-18,85.0
2020-05-19,88.0
2020-05-20,90.0
2020-05-21,91.0
2020-05-22,95.0
2020-05-23,100.0
2020-05-24,101.0
2020-05-25,105.0
2020-05-26,112.0
2020-05-27,116.0
2020-05-28,120.0
2020-05-29,132.0
2020-05-30,138.0
2020-05-31,139.0
2020-06-01,145.0
2020-06-02,151.0
2020-06-03,154.0
2020-06-04,167.0
2020-06-05,172.0
2020-06-06,186.0
2020-06-07,191.0
2020-06-08,195.0
2020-06-09,207.0
2020-06-10,215.0
2020-06-11,230.0
2020-06-12,239.0
2020-06-13,256.0
2020-06-14,258.0
2020-06-15,259.0
2020-06-16,287.0
2020-06-17,313.0
2020-06-18,329.0
2020-06-19,347.0
2020-06-20,360.0
2020-06-21,362.0
2020-06-22,366.0
2020-06-23,404.0
2020-06-24,428.0
2020-06-25,454.0
2020-06-26,464.0
2020-06-27,485.0
2020-06-28,488.0
2020-06-29,494.0
2020-06-30,530.0
2020-07-01,544.0
2020-07-02,570.0
2020-07-03,597.0
2020-07-04,610.0
2020-07-05,618.0
2020-07-06,623.0
2020-07-07,647.0
2020-07-08,675.0
2020-07-09,715.0
2020-07-10,736.0
2020-07-11,763.0
2020-07-12,775.0
