Data,CABiAFiiiaidiaitini
43918.0,9.0
43919.0,9.0
43920.0,12.0
43921.0,17.0
43922.0,18.0
43923.0,21.0
43924.0,20.0
43925.0,21.0
43926.0,25.0
43927.0,26.0
43928.0,32.0
43929.0,33.0
43930.0,39.0
43931.0,41.0
43932.0,42.0
43933.0,43.0
43934.0,45.0
43935.0,48.0
43936.0,50.0
43937.0,51.0
43938.0,52.0
43939.0,54.0
43940.0,54.0
43941.0,58.0
43942.0,61.0
43943.0,61.0
43944.0,63.0
43945.0,66.0
43946.0,66.0
43947.0,67.0
43948.0,67.0
43949.0,67.0
43950.0,86.0
43951.0,90.0
43952.0,87.0
43953.0,88.0
43954.0,96.0
43955.0,97.0
43956.0,97.0
43957.0,102.0
43958.0,104.0
43959.0,107.0
43960.0,112.0
43961.0,117.0
43962.0,117.0
43963.0,129.0
43964.0,138.0
43965.0,138.0
43966.0,195.0
43967.0,195.0
43968.0,207.0
43969.0,213.0
43970.0,230.0
43971.0,252.0
43972.0,271.0
43973.0,311.0
43974.0,321.0
43975.0,354.0
43976.0,377.0
43977.0,408.0
43978.0,414.0
43979.0,427.0
43980.0,451.0
43981.0,462.0
43982.0,483.0
43983.0,515.0
43984.0,567.0
43985.0,613.0
43986.0,673.0
