Data,NORORSCA11004
2020-03-27,0.0
2020-03-28,5.0
2020-03-29,5.0
2020-03-30,5.0
2020-03-31,6.0
2020-04-01,7.0
2020-04-02,8.0
2020-04-03,8.0
2020-04-04,9.0
2020-04-05,10.0
2020-04-06,10.0
2020-04-07,14.0
2020-04-08,21.0
2020-04-09,23.0
2020-04-10,23.0
2020-04-11,24.0
2020-04-12,26.0
2020-04-13,27.0
2020-04-14,49.0
2020-04-15,49.0
2020-04-16,52.0
2020-04-17,58.0
2020-04-18,71.0
2020-04-19,88.0
2020-04-20,110.0
2020-04-21,135.0
2020-04-22,164.0
2020-04-23,180.0
2020-04-24,207.0
2020-04-25,239.0
2020-04-26,261.0
2020-04-27,287.0
2020-04-28,306.0
2020-04-29,317.0
2020-04-30,372.0
2020-05-01,429.0
2020-05-02,483.0
2020-05-03,519.0
2020-05-04,557.0
2020-05-05,655.0
2020-05-06,723.0
2020-05-07,844.0
2020-05-08,947.0
2020-05-09,987.0
2020-05-10,1011.0
2020-05-11,1098.0
2020-05-12,1142.0
2020-05-13,1275.0
2020-05-14,1334.0
2020-05-15,1421.0
2020-05-16,1532.0
2020-05-17,1572.0
2020-05-18,1641.0
2020-05-19,1825.0
2020-05-20,2018.0
2020-05-21,2144.0
2020-05-22,2229.0
2020-05-23,2512.0
2020-05-24,2596.0
2020-05-25,2633.0
2020-05-26,2796.0
2020-05-27,3052.0
2020-05-28,3393.0
2020-05-29,3548.0
2020-05-30,3695.0
2020-05-31,3832.0
2020-06-01,4037.0
2020-06-02,4247.0
2020-06-03,4353.0
2020-06-04,4872.0
2020-06-05,5119.0
2020-06-06,5734.0
2020-06-07,5890.0
2020-06-08,6246.0
2020-06-09,6643.0
2020-06-10,7078.0
2020-06-11,7574.0
2020-06-12,8164.0
2020-06-13,8554.0
2020-06-14,8618.0
2020-06-15,8831.0
2020-06-16,9409.0
2020-06-17,9831.0
2020-06-18,10016.0
2020-06-19,10396.0
2020-06-20,10845.0
2020-06-21,11009.0
2020-06-22,11513.0
2020-06-23,12046.0
2020-06-24,12664.0
2020-06-25,13240.0
2020-06-26,13960.0
2020-06-27,13960.0
2020-06-28,14365.0
2020-06-29,14770.0
2020-06-30,15213.0
2020-07-01,15320.0
2020-07-02,15543.0
2020-07-03,15667.0
2020-07-04,16204.0
2020-07-05,16567.0
2020-07-06,16930.0
2020-07-07,17362.0
2020-07-08,17783.0
