Data,NORRRSCA14001
2020-03-27,0.0
2020-03-28,12.0
2020-03-29,16.0
2020-03-30,16.0
2020-03-31,16.0
2020-04-01,22.0
2020-04-02,26.0
2020-04-03,30.0
2020-04-04,37.0
2020-04-05,42.0
2020-04-06,42.0
2020-04-07,42.0
2020-04-08,49.0
2020-04-09,52.0
2020-04-10,63.0
2020-04-11,75.0
2020-04-12,79.0
2020-04-13,83.0
2020-04-14,113.0
2020-04-15,114.0
2020-04-16,142.0
2020-04-17,163.0
2020-04-18,199.0
2020-04-19,218.0
2020-04-20,240.0
2020-04-21,243.0
2020-04-22,275.0
2020-04-23,286.0
2020-04-24,293.0
2020-04-25,332.0
2020-04-26,386.0
2020-04-27,392.0
2020-04-28,409.0
2020-04-29,436.0
2020-04-30,493.0
2020-05-01,572.0
2020-05-02,629.0
2020-05-03,679.0
2020-05-04,740.0
2020-05-05,800.0
2020-05-06,862.0
2020-05-07,941.0
2020-05-08,1030.0
2020-05-09,1094.0
2020-05-10,1178.0
2020-05-11,1183.0
2020-05-12,1205.0
2020-05-13,1286.0
2020-05-14,1360.0
2020-05-15,1432.0
2020-05-16,1532.0
2020-05-17,1608.0
2020-05-18,1691.0
2020-05-19,1790.0
2020-05-20,1859.0
2020-05-21,1921.0
2020-05-22,2065.0
2020-05-23,2132.0
2020-05-24,2184.0
2020-05-25,2248.0
2020-05-26,2317.0
2020-05-27,2409.0
2020-05-28,2672.0
2020-05-29,2802.0
2020-05-30,2992.0
2020-05-31,3148.0
2020-06-01,3349.0
2020-06-02,3502.0
2020-06-03,3767.0
2020-06-04,4087.0
2020-06-05,4423.0
2020-06-06,4766.0
2020-06-07,5023.0
2020-06-08,5261.0
2020-06-09,5503.0
2020-06-10,5761.0
2020-06-11,5994.0
2020-06-12,6107.0
2020-06-13,6158.0
2020-06-14,6160.0
2020-06-15,6166.0
2020-06-16,6215.0
2020-06-17,6415.0
2020-06-18,6608.0
2020-06-19,6732.0
2020-06-20,7018.0
2020-06-21,7087.0
2020-06-22,7134.0
2020-06-23,9101.0
2020-06-24,9498.0
2020-06-25,10452.0
2020-06-26,11399.0
2020-06-27,11517.0
2020-06-28,12728.0
2020-06-29,12813.0
2020-06-30,12919.0
2020-07-01,13442.0
2020-07-02,15788.0
2020-07-03,16486.0
2020-07-04,16842.0
2020-07-05,16969.0
2020-07-06,16986.0
2020-07-07,17127.0
2020-07-08,17315.0
2020-07-09,17913.0
2020-07-10,18873.0
2020-07-11,19440.0
2020-07-12,19642.0
2020-07-13,19928.0
2020-07-14,20223.0
2020-07-15,20819.0
