Data,CAEiS_An
43886.0,0.0
43887.0,0.0
43888.0,0.0
43889.0,0.0
43890.0,0.0
43891.0,0.0
43892.0,0.0
43893.0,0.0
43894.0,0.0
43895.0,0.0
43896.0,1.0
43897.0,1.0
43898.0,1.0
43899.0,1.0
43900.0,1.0
43901.0,1.0
43902.0,1.0
43903.0,1.0
43904.0,1.0
43905.0,1.0
43906.0,1.0
43907.0,1.0
43908.0,9.0
43909.0,11.0
43910.0,13.0
43911.0,26.0
43912.0,26.0
43913.0,29.0
43914.0,33.0
43915.0,39.0
43916.0,39.0
43917.0,47.0
43918.0,53.0
43919.0,60.0
43920.0,72.0
43921.0,84.0
43922.0,96.0
43923.0,120.0
43924.0,139.0
43925.0,153.0
43926.0,166.0
43927.0,194.0
43928.0,209.0
43929.0,227.0
43930.0,273.0
43931.0,300.0
43932.0,349.0
43933.0,383.0
43934.0,430.0
43935.0,463.0
43936.0,557.0
43937.0,754.0
43938.0,856.0
43939.0,952.0
43940.0,1099.0
43941.0,1168.0
43942.0,1212.0
43943.0,1313.0
43944.0,1363.0
43945.0,1381.0
43946.0,1595.0
43947.0,1703.0
43948.0,1796.0
43949.0,1874.0
43950.0,2107.0
43951.0,2465.0
43952.0,2662.0
43953.0,2948.0
43954.0,3086.0
43955.0,3226.0
43956.0,3402.0
43957.0,3568.0
43958.0,3838.0
43959.0,4242.0
43960.0,4412.0
43961.0,4599.0
43962.0,4819.0
43963.0,5087.0
43964.0,5401.0
43965.0,5813.0
43966.0,6198.0
43967.0,6595.0
43968.0,6744.0
43969.0,7157.0
43970.0,7693.0
43971.0,8092.0
43972.0,8878.0
43973.0,9520.0
43974.0,9918.0
43975.0,10007.0
43976.0,10365.0
43977.0,10889.0
43978.0,11484.0
43979.0,12203.0
43980.0,12903.0
43981.0,13437.0
43982.0,13690.0
43983.0,14069.0
43984.0,15151.0
43985.0,16121.0
43986.0,16894.0
