Data,NESERSCA28006
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,2.0
2020-04-17,2.0
2020-04-18,2.0
2020-04-19,1.0
2020-04-20,2.0
2020-04-21,2.0
2020-04-22,2.0
2020-04-23,3.0
2020-04-24,4.0
2020-04-25,7.0
2020-04-26,8.0
2020-04-27,9.0
2020-04-28,13.0
2020-04-29,24.0
2020-04-30,34.0
2020-05-01,40.0
2020-05-02,51.0
2020-05-03,62.0
2020-05-04,65.0
2020-05-05,74.0
2020-05-06,78.0
2020-05-07,92.0
2020-05-08,115.0
2020-05-09,135.0
2020-05-10,148.0
2020-05-11,153.0
2020-05-12,174.0
2020-05-13,201.0
2020-05-14,214.0
2020-05-15,230.0
2020-05-16,258.0
2020-05-17,279.0
2020-05-18,304.0
2020-05-19,325.0
2020-05-20,364.0
2020-05-21,453.0
2020-05-22,475.0
2020-05-23,491.0
2020-05-24,508.0
2020-05-25,529.0
2020-05-26,561.0
2020-05-27,576.0
2020-05-28,599.0
2020-05-29,639.0
2020-05-30,713.0
2020-05-31,736.0
2020-06-01,755.0
2020-06-02,788.0
2020-06-03,854.0
2020-06-04,874.0
2020-06-05,913.0
2020-06-06,954.0
2020-06-07,989.0
2020-06-08,1024.0
2020-06-09,1067.0
2020-06-10,1131.0
2020-06-11,1182.0
2020-06-12,1217.0
2020-06-13,1346.0
2020-06-14,1459.0
2020-06-15,1639.0
2020-06-16,1675.0
2020-06-17,1702.0
2020-06-18,1753.0
2020-06-19,1835.0
2020-06-20,1903.0
2020-06-21,1955.0
2020-06-22,2007.0
2020-06-23,2057.0
2020-06-24,2110.0
2020-06-25,2200.0
2020-06-26,2257.0
2020-06-27,2440.0
2020-06-28,2519.0
2020-06-29,2558.0
2020-06-30,2586.0
2020-07-01,2665.0
2020-07-02,2743.0
2020-07-03,2907.0
2020-07-04,3046.0
2020-07-05,3085.0
2020-07-06,3113.0
2020-07-07,3260.0
2020-07-08,3375.0
2020-07-09,3444.0
2020-07-10,3564.0
