Data,GDM
BR-AP,-3
BR-AP,6
BR-AP,0
BR-AP,-1
BR-AP,-12
BR-AP,-10
BR-AP,-1
BR-AP,-11
BR-AP,-40
BR-AP,-54
BR-AP,-24
BR-AP,-22
BR-AP,-6
BR-AP,-14
BR-AP,-14
BR-AP,-3
BR-AP,-9
BR-AP,-8
BR-AP,-25
BR-AP,2
BR-AP,-3
BR-AP,-3
BR-AP,-11
BR-AP,-7
BR-AP,-8
BR-AP,-28
BR-AP,-3
BR-AP,-6
BR-AP,-8
BR-AP,-2
BR-AP,-8
BR-AP,-13
BR-AP,-26
BR-AP,-24
BR-AP,-35
BR-AP,-43
BR-AP,-53
BR-AP,-51
BR-AP,-64
BR-AP,-68
BR-AP,-53
BR-AP,-65
BR-AP,-68
BR-AP,-73
BR-AP,-65
BR-AP,-67
BR-AP,-66
BR-AP,-62
BR-AP,-65
BR-AP,-70
BR-AP,-73
BR-AP,-69
BR-AP,-71
BR-AP,-69
BR-AP,-60
BR-AP,-78
BR-AP,-77
BR-AP,-85
BR-AP,-74
BR-AP,-77
BR-AP,-75
BR-AP,-69
BR-AP,-70
BR-AP,-76
BR-AP,-82
BR-AP,-77
BR-AP,-79
BR-AP,-72
BR-AP,-67
BR-AP,-69
BR-AP,-75
BR-AP,-80
BR-AP,-73
BR-AP,-73
BR-AP,-76
BR-AP,-64
BR-AP,-75
BR-AP,-75
BR-AP,-79
BR-AP,-66
BR-AP,-74
BR-AP,-65
BR-AP,-70
BR-AP,-63
BR-AP,-77
BR-AP,-76
BR-AP,-71
BR-AP,-77
BR-AP,-71
BR-AP,-71
BR-AP,-69
BR-AP,-77
BR-AP,-79
BR-AP,-66
BR-AP,-83
BR-AP,-75
BR-AP,-74
BR-AP,-69
BR-AP,-80
BR-AP,-76
BR-AP,-73
BR-AP,-73
BR-AP,-68
BR-AP,-69
BR-AP,-67
BR-AP,-71
BR-AP,-70
BR-AP,-66
BR-AP,-65
BR-AP,-60
BR-AP,-53
BR-AP,-60
BR-AP,-66
BR-AP,-65
