Data,OABiASiliaioi
43918.0,0.0
43919.0,1.0
43920.0,1.0
43921.0,2.0
43922.0,2.0
43923.0,3.0
43924.0,5.0
43925.0,5.0
43926.0,7.0
43927.0,8.0
43928.0,10.0
43929.0,11.0
43930.0,11.0
43931.0,11.0
43932.0,11.0
43933.0,11.0
43934.0,11.0
43935.0,13.0
43936.0,0.0
43937.0,18.0
43938.0,18.0
43939.0,19.0
43940.0,22.0
43941.0,23.0
43942.0,24.0
43943.0,28.0
43944.0,34.0
43945.0,37.0
43946.0,38.0
43947.0,39.0
43948.0,48.0
43949.0,56.0
43950.0,62.0
43951.0,67.0
43952.0,76.0
43953.0,78.0
43954.0,80.0
43955.0,91.0
43956.0,95.0
43957.0,98.0
43958.0,101.0
43959.0,118.0
43960.0,127.0
43961.0,128.0
43962.0,138.0
43963.0,145.0
43964.0,148.0
43965.0,167.0
43966.0,204.0
43967.0,185.0
43968.0,213.0
43969.0,229.0
43970.0,215.0
43971.0,241.0
43972.0,248.0
43973.0,257.0
43974.0,264.0
43975.0,303.0
43976.0,314.0
43977.0,328.0
43978.0,357.0
43979.0,390.0
43980.0,421.0
43981.0,443.0
43982.0,453.0
43983.0,474.0
43984.0,493.0
43985.0,511.0
43986.0,535.0
