Data,COGORSCA52002
2020-03-27,0.0
2020-03-28,4.0
2020-03-29,4.0
2020-03-30,5.0
2020-03-31,3.0
2020-04-01,3.0
2020-04-02,3.0
2020-04-03,6.0
2020-04-04,3.0
2020-04-05,3.0
2020-04-06,3.0
2020-04-07,4.0
2020-04-08,5.0
2020-04-09,5.0
2020-04-10,7.0
2020-04-11,8.0
2020-04-12,10.0
2020-04-13,10.0
2020-04-14,13.0
2020-04-15,14.0
2020-04-16,17.0
2020-04-17,18.0
2020-04-18,17.0
2020-04-19,23.0
2020-04-20,23.0
2020-04-21,26.0
2020-04-22,27.0
2020-04-23,30.0
2020-04-24,33.0
2020-04-25,38.0
2020-04-26,40.0
2020-04-27,41.0
2020-04-28,50.0
2020-04-29,63.0
2020-04-30,74.0
2020-05-01,78.0
2020-05-02,78.0
2020-05-03,79.0
2020-05-04,79.0
2020-05-05,87.0
2020-05-06,116.0
2020-05-07,109.0
2020-05-08,111.0
2020-05-09,113.0
2020-05-10,111.0
2020-05-11,112.0
2020-05-12,113.0
2020-05-13,118.0
2020-05-14,187.0
2020-05-15,208.0
2020-05-16,208.0
2020-05-17,217.0
2020-05-18,221.0
2020-05-19,248.0
2020-05-20,273.0
2020-05-21,295.0
2020-05-22,314.0
2020-05-23,338.0
2020-05-24,368.0
2020-05-25,393.0
2020-05-26,410.0
2020-05-27,442.0
2020-05-28,505.0
2020-05-29,541.0
2020-05-30,564.0
2020-05-31,564.0
2020-06-01,597.0
2020-06-02,666.0
2020-06-03,717.0
2020-06-04,779.0
2020-06-05,859.0
2020-06-06,902.0
2020-06-07,935.0
2020-06-08,957.0
2020-06-09,1062.0
2020-06-10,1111.0
2020-06-11,1224.0
2020-06-12,1254.0
2020-06-13,1269.0
2020-06-14,1269.0
2020-06-15,1372.0
2020-06-16,1516.0
2020-06-17,1639.0
2020-06-18,1739.0
2020-06-19,1885.0
2020-06-20,2029.0
2020-06-21,2033.0
2020-06-22,2122.0
2020-06-23,2304.0
2020-06-24,2498.0
2020-06-25,2673.0
2020-06-26,2947.0
2020-06-27,3189.0
2020-06-28,3371.0
2020-06-29,3543.0
2020-06-30,3781.0
2020-07-01,3926.0
2020-07-02,4143.0
2020-07-03,4148.0
2020-07-04,4623.0
2020-07-05,4625.0
2020-07-06,4650.0
2020-07-07,5144.0
2020-07-08,5349.0
2020-07-09,5595.0
2020-07-10,5702.0
2020-07-11,5753.0
2020-07-12,6055.0
2020-07-13,6100.0
2020-07-14,6234.0
2020-07-15,6357.0
2020-07-16,6587.0
2020-07-17,6677.0
2020-07-18,6685.0
2020-07-19,6674.0
