Data,NEPERSCA26006
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,3.0
2020-04-07,6.0
2020-04-08,7.0
2020-04-09,11.0
2020-04-10,14.0
2020-04-11,15.0
2020-04-12,18.0
2020-04-13,22.0
2020-04-14,23.0
2020-04-15,27.0
2020-04-16,32.0
2020-04-17,38.0
2020-04-18,38.0
2020-04-19,41.0
2020-04-20,42.0
2020-04-21,48.0
2020-04-22,58.0
2020-04-23,61.0
2020-04-24,63.0
2020-04-25,77.0
2020-04-26,85.0
2020-04-27,98.0
2020-04-28,105.0
2020-04-29,118.0
2020-04-30,136.0
2020-05-01,151.0
2020-05-02,165.0
2020-05-03,173.0
2020-05-04,181.0
2020-05-05,188.0
2020-05-06,190.0
2020-05-07,208.0
2020-05-08,220.0
2020-05-09,241.0
2020-05-10,270.0
2020-05-11,280.0
2020-05-12,299.0
2020-05-13,307.0
2020-05-14,322.0
2020-05-15,340.0
2020-05-16,443.0
2020-05-17,468.0
2020-05-18,475.0
2020-05-19,515.0
2020-05-20,571.0
2020-05-21,618.0
2020-05-22,679.0
2020-05-23,738.0
2020-05-24,792.0
2020-05-25,817.0
2020-05-26,833.0
2020-05-27,905.0
2020-05-28,935.0
2020-05-29,1003.0
2020-05-30,1123.0
2020-05-31,1191.0
2020-06-01,1202.0
2020-06-02,1234.0
2020-06-03,1300.0
2020-06-04,1382.0
2020-06-05,1446.0
2020-06-06,1496.0
2020-06-07,1556.0
2020-06-08,1590.0
2020-06-09,1601.0
2020-06-10,1668.0
2020-06-11,1727.0
2020-06-12,1806.0
2020-06-13,1835.0
2020-06-14,1878.0
2020-06-15,1888.0
2020-06-16,1956.0
2020-06-17,2040.0
2020-06-18,2088.0
2020-06-19,2191.0
2020-06-20,2297.0
2020-06-21,2376.0
2020-06-22,2397.0
2020-06-23,2421.0
2020-06-24,2464.0
2020-06-25,2516.0
2020-06-26,2544.0
2020-06-27,2610.0
2020-06-28,2686.0
2020-06-29,2699.0
2020-06-30,2714.0
2020-07-01,2761.0
2020-07-02,2841.0
2020-07-03,2936.0
2020-07-04,2993.0
2020-07-05,3081.0
2020-07-06,3116.0
2020-07-07,3133.0
2020-07-08,3216.0
2020-07-09,3302.0
2020-07-10,3382.0
2020-07-11,3456.0
2020-07-12,3515.0
2020-07-13,3535.0
2020-07-14,3562.0
2020-07-15,3628.0
2020-07-16,3672.0
2020-07-17,3739.0
2020-07-18,3791.0
2020-07-19,3822.0
2020-07-20,3877.0
2020-07-21,3888.0
2020-07-22,3978.0
2020-07-23,4113.0
