Data,NOAMRSOA13001
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,4.0
2020-04-04,9.0
2020-04-05,10.0
2020-04-06,15.0
2020-04-07,19.0
2020-04-08,24.0
2020-04-09,33.0
2020-04-10,43.0
2020-04-11,46.0
2020-04-12,52.0
2020-04-13,62.0
2020-04-14,82.0
2020-04-15,94.0
2020-04-16,111.0
2020-04-17,131.0
2020-04-18,139.0
2020-04-19,161.0
2020-04-20,161.0
2020-04-21,169.0
2020-04-22,180.0
2020-04-23,202.0
2020-04-24,218.0
2020-04-25,245.0
2020-04-26,260.0
2020-04-27,269.0
2020-04-28,288.0
2020-04-29,307.0
2020-04-30,339.0
2020-05-01,384.0
2020-05-02,396.0
2020-05-03,428.0
2020-05-04,451.0
2020-05-05,496.0
2020-05-06,577.0
2020-05-07,613.0
2020-05-08,658.0
2020-05-09,719.0
2020-05-10,743.0
2020-05-11,759.0
2020-05-12,802.0
2020-05-13,841.0
2020-05-14,899.0
2020-05-15,982.0
2020-05-16,1016.0
2020-05-17,1045.0
2020-05-18,1050.0
2020-05-19,1101.0
2020-05-20,1160.0
2020-05-21,1197.0
2020-05-22,1237.0
2020-05-23,1294.0
2020-05-24,1302.0
2020-05-25,1311.0
2020-05-26,1372.0
2020-05-27,1397.0
2020-05-28,1445.0
2020-05-29,1482.0
2020-05-30,1503.0
2020-05-31,1503.0
2020-06-01,1509.0
2020-06-02,1531.0
2020-06-03,1554.0
2020-06-04,1590.0
2020-06-05,1584.0
2020-06-06,1614.0
2020-06-07,1623.0
2020-06-08,1632.0
2020-06-09,1660.0
2020-06-10,1702.0
2020-06-11,1736.0
2020-06-12,1755.0
2020-06-13,1778.0
2020-06-14,1799.0
2020-06-15,1808.0
2020-06-16,1837.0
2020-06-17,1855.0
2020-06-18,1873.0
