Data,GDM
BR-PE,7
BR-PE,3
BR-PE,7
BR-PE,4
BR-PE,8
BR-PE,3
BR-PE,9
BR-PE,10
BR-PE,4
BR-PE,-25
BR-PE,-29
BR-PE,-20
BR-PE,-2
BR-PE,0
BR-PE,-1
BR-PE,-4
BR-PE,7
BR-PE,6
BR-PE,9
BR-PE,12
BR-PE,-20
BR-PE,0
BR-PE,-1
BR-PE,10
BR-PE,9
BR-PE,10
BR-PE,3
BR-PE,5
BR-PE,-1
BR-PE,-14
BR-PE,-7
BR-PE,-14
BR-PE,-21
BR-PE,-28
BR-PE,-30
BR-PE,-43
BR-PE,-56
BR-PE,-55
BR-PE,-59
BR-PE,-59
BR-PE,-59
BR-PE,-58
BR-PE,-55
BR-PE,-59
BR-PE,-58
BR-PE,-55
BR-PE,-55
BR-PE,-56
BR-PE,-53
BR-PE,-51
BR-PE,-57
BR-PE,-52
BR-PE,-50
BR-PE,-49
BR-PE,-48
BR-PE,-65
BR-PE,-53
BR-PE,-57
BR-PE,-53
BR-PE,-54
BR-PE,-54
BR-PE,-57
BR-PE,-52
BR-PE,-50
BR-PE,-59
BR-PE,-55
BR-PE,-67
BR-PE,-54
BR-PE,-54
BR-PE,-57
BR-PE,-52
BR-PE,-61
BR-PE,-56
BR-PE,-52
BR-PE,-52
BR-PE,-50
BR-PE,-67
BR-PE,-49
BR-PE,-57
BR-PE,-50
BR-PE,-50
BR-PE,-46
BR-PE,-46
BR-PE,-44
BR-PE,-42
BR-PE,-48
BR-PE,-50
BR-PE,-51
BR-PE,-51
BR-PE,-52
BR-PE,-49
BR-PE,-62
BR-PE,-64
BR-PE,-57
BR-PE,-55
BR-PE,-53
BR-PE,-52
BR-PE,-50
BR-PE,-58
BR-PE,-58
BR-PE,-51
BR-PE,-49
BR-PE,-47
BR-PE,-48
BR-PE,-48
BR-PE,-44
BR-PE,-51
BR-PE,-43
BR-PE,-42
BR-PE,-40
BR-PE,-41
BR-PE,-36
BR-PE,-36
BR-PE,-49
