Data,NEALRSCA27001
2020-03-27,0.0
2020-03-28,13.0
2020-03-29,16.0
2020-03-30,12.0
2020-03-31,13.0
2020-04-01,17.0
2020-04-02,13.0
2020-04-03,18.0
2020-04-04,18.0
2020-04-05,22.0
2020-04-06,24.0
2020-04-07,24.0
2020-04-08,29.0
2020-04-09,29.0
2020-04-10,36.0
2020-04-11,39.0
2020-04-12,39.0
2020-04-13,41.0
2020-04-14,63.0
2020-04-15,71.0
2020-04-16,78.0
2020-04-17,99.0
2020-04-18,117.0
2020-04-19,142.0
2020-04-20,153.0
2020-04-21,190.0
2020-04-22,220.0
2020-04-23,299.0
2020-04-24,380.0
2020-04-25,456.0
2020-04-26,505.0
2020-04-27,576.0
2020-04-28,698.0
2020-04-29,864.0
2020-04-30,934.0
2020-05-01,1101.0
2020-05-02,1224.0
2020-05-03,1284.0
2020-05-04,1372.0
2020-05-05,1419.0
2020-05-06,1489.0
2020-05-07,1617.0
2020-05-08,1744.0
2020-05-09,1851.0
2020-05-10,1908.0
2020-05-11,1978.0
2020-05-12,2160.0
2020-05-13,2303.0
2020-05-14,2437.0
2020-05-15,2600.0
2020-05-16,2835.0
2020-05-17,2933.0
2020-05-18,3100.0
2020-05-19,3275.0
2020-05-20,3298.0
2020-05-21,3608.0
2020-05-22,3794.0
2020-05-23,4007.0
2020-05-24,4217.0
2020-05-25,4524.0
2020-05-26,4782.0
2020-05-27,5107.0
2020-05-28,5392.0
2020-05-29,5662.0
2020-05-30,6005.0
2020-05-31,6831.0
2020-06-01,7078.0
2020-06-02,7361.0
2020-06-03,7924.0
2020-06-04,8359.0
2020-06-05,8925.0
2020-06-06,9300.0
2020-06-07,9724.0
2020-06-08,9725.0
2020-06-09,10439.0
2020-06-10,10915.0
2020-06-11,11412.0
2020-06-12,11937.0
2020-06-13,12442.0
2020-06-14,13161.0
2020-06-15,13560.0
2020-06-16,13927.0
2020-06-17,14381.0
2020-06-18,14591.0
2020-06-19,15089.0
2020-06-20,15321.0
2020-06-21,15911.0
