Data,GDM
BR-RR,-3
BR-RR,-11
BR-RR,-3
BR-RR,-3
BR-RR,-5
BR-RR,-8
BR-RR,0
BR-RR,4
BR-RR,-11
BR-RR,-33
BR-RR,-37
BR-RR,-10
BR-RR,-8
BR-RR,-3
BR-RR,-10
BR-RR,-10
BR-RR,4
BR-RR,2
BR-RR,5
BR-RR,5
BR-RR,8
BR-RR,2
BR-RR,-8
BR-RR,3
BR-RR,0
BR-RR,5
BR-RR,1
BR-RR,5
BR-RR,-9
BR-RR,-9
BR-RR,-4
BR-RR,-12
BR-RR,-14
BR-RR,-24
BR-RR,-27
BR-RR,-37
BR-RR,-53
BR-RR,-53
BR-RR,-59
BR-RR,-64
BR-RR,-66
BR-RR,-62
BR-RR,-65
BR-RR,-72
BR-RR,-58
BR-RR,-60
BR-RR,-54
BR-RR,-51
BR-RR,-57
BR-RR,-62
BR-RR,-67
BR-RR,-63
BR-RR,-63
BR-RR,-60
BR-RR,-57
BR-RR,-75
BR-RR,-72
BR-RR,-72
BR-RR,-65
BR-RR,-66
BR-RR,-60
BR-RR,-58
BR-RR,-63
BR-RR,-67
BR-RR,-71
BR-RR,-67
BR-RR,-72
BR-RR,-59
BR-RR,-56
BR-RR,-59
BR-RR,-66
BR-RR,-69
BR-RR,-63
BR-RR,-60
BR-RR,-59
BR-RR,-53
BR-RR,-65
BR-RR,-65
BR-RR,-70
BR-RR,-57
BR-RR,-58
BR-RR,-56
BR-RR,-53
BR-RR,-52
BR-RR,-61
BR-RR,-66
BR-RR,-59
BR-RR,-62
BR-RR,-56
BR-RR,-58
BR-RR,-56
BR-RR,-64
BR-RR,-70
BR-RR,-59
BR-RR,-61
BR-RR,-55
BR-RR,-57
BR-RR,-55
BR-RR,-65
BR-RR,-68
BR-RR,-58
BR-RR,-62
BR-RR,-55
BR-RR,-53
BR-RR,-48
BR-RR,-58
BR-RR,-63
BR-RR,-55
BR-RR,-54
BR-RR,-52
BR-RR,-50
BR-RR,-46
BR-RR,-55
BR-RR,-61
