Data,OARiJ_An
43886.0,0.0
43887.0,0.0
43888.0,0.0
43889.0,0.0
43890.0,0.0
43891.0,0.0
43892.0,0.0
43893.0,0.0
43894.0,0.0
43895.0,0.0
43896.0,0.0
43897.0,0.0
43898.0,0.0
43899.0,0.0
43900.0,0.0
43901.0,0.0
43902.0,0.0
43903.0,0.0
43904.0,0.0
43905.0,0.0
43906.0,0.0
43907.0,0.0
43908.0,0.0
43909.0,2.0
43910.0,2.0
43911.0,3.0
43912.0,3.0
43913.0,4.0
43914.0,6.0
43915.0,6.0
43916.0,9.0
43917.0,10.0
43918.0,13.0
43919.0,17.0
43920.0,18.0
43921.0,23.0
43922.0,28.0
43923.0,41.0
43924.0,47.0
43925.0,58.0
43926.0,64.0
43927.0,71.0
43928.0,89.0
43929.0,106.0
43930.0,122.0
43931.0,147.0
43932.0,155.0
43933.0,170.0
43934.0,188.0
43935.0,224.0
43936.0,265.0
43937.0,300.0
43938.0,341.0
43939.0,387.0
43940.0,402.0
43941.0,422.0
43942.0,461.0
43943.0,490.0
43944.0,530.0
43945.0,570.0
43946.0,615.0
43947.0,645.0
43948.0,677.0
43949.0,738.0
43950.0,794.0
43951.0,854.0
43952.0,921.0
43953.0,971.0
43954.0,1019.0
43955.0,1065.0
43956.0,1123.0
43957.0,1205.0
43958.0,1394.0
43959.0,1503.0
43960.0,1653.0
43961.0,1714.0
43962.0,1770.0
43963.0,1928.0
43964.0,2050.0
43965.0,2247.0
43966.0,2438.0
43967.0,2614.0
43968.0,2715.0
43969.0,2852.0
43970.0,3079.0
43971.0,3237.0
43972.0,3412.0
43973.0,3657.0
43974.0,3905.0
43975.0,3993.0
43976.0,4105.0
43977.0,4361.0
43978.0,4605.0
43979.0,4856.0
43980.0,5079.0
43981.0,5277.0
43982.0,5344.0
43983.0,5462.0
43984.0,5686.0
43985.0,6010.0
43986.0,6327.0
