Data,GDM
BR-CE,1
BR-CE,-2
BR-CE,4
BR-CE,3
BR-CE,1
BR-CE,2
BR-CE,6
BR-CE,-13
BR-CE,-19
BR-CE,-49
BR-CE,-49
BR-CE,-26
BR-CE,-5
BR-CE,-6
BR-CE,-14
BR-CE,-16
BR-CE,-1
BR-CE,1
BR-CE,1
BR-CE,2
BR-CE,7
BR-CE,-5
BR-CE,-3
BR-CE,3
BR-CE,3
BR-CE,1
BR-CE,-1
BR-CE,2
BR-CE,-11
BR-CE,-13
BR-CE,-6
BR-CE,-15
BR-CE,-23
BR-CE,-56
BR-CE,-44
BR-CE,-60
BR-CE,-63
BR-CE,-68
BR-CE,-70
BR-CE,-76
BR-CE,-69
BR-CE,-68
BR-CE,-68
BR-CE,-68
BR-CE,-67
BR-CE,-67
BR-CE,-64
BR-CE,-65
BR-CE,-64
BR-CE,-65
BR-CE,-66
BR-CE,-62
BR-CE,-61
BR-CE,-62
BR-CE,-62
BR-CE,-76
BR-CE,-66
BR-CE,-67
BR-CE,-64
BR-CE,-63
BR-CE,-64
BR-CE,-63
BR-CE,-62
BR-CE,-62
BR-CE,-65
BR-CE,-62
BR-CE,-75
BR-CE,-62
BR-CE,-63
BR-CE,-63
BR-CE,-63
BR-CE,-66
BR-CE,-63
BR-CE,-61
BR-CE,-61
BR-CE,-60
BR-CE,-73
BR-CE,-63
BR-CE,-66
BR-CE,-62
BR-CE,-60
BR-CE,-59
BR-CE,-58
BR-CE,-64
BR-CE,-65
BR-CE,-66
BR-CE,-65
BR-CE,-63
BR-CE,-64
BR-CE,-65
BR-CE,-66
BR-CE,-68
BR-CE,-69
BR-CE,-65
BR-CE,-64
BR-CE,-62
BR-CE,-63
BR-CE,-61
BR-CE,-63
BR-CE,-66
BR-CE,-61
BR-CE,-61
BR-CE,-64
BR-CE,-65
BR-CE,-58
BR-CE,-58
BR-CE,-63
BR-CE,-55
BR-CE,-53
BR-CE,-53
BR-CE,-52
BR-CE,-51
BR-CE,-50
BR-CE,-61
