Data,CNPiB_An
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,1
2020-03-24,1
2020-03-25,0
2020-03-26,2
2020-03-27,4
2020-03-28,5
2020-03-29,0
2020-03-30,1
2020-03-31,2
2020-04-01,3
2020-04-02,1
2020-04-03,8
2020-04-04,3
2020-04-05,2
2020-04-06,1
2020-04-07,1
2020-04-08,5
2020-04-09,14
2020-04-10,24
2020-04-11,6
2020-04-12,16
2020-04-13,10
2020-04-14,25
2020-04-15,15
2020-04-16,14
2020-04-17,30
2020-04-18,10
2020-04-19,31
2020-04-20,9
2020-04-21,18
2020-04-22,38
2020-04-23,44
2020-04-24,41
2020-04-25,61
2020-04-26,52
2020-04-27,44
2020-04-28,90
2020-04-29,66
2020-04-30,115
2020-05-01,112
2020-05-02,108
2020-05-03,135
2020-05-04,50
2020-05-05,142
2020-05-06,132
2020-05-07,164
2020-05-08,374
2020-05-09,125
2020-05-10,185
2020-05-11,184
2020-05-12,252
2020-05-13,268
2020-05-14,316
2020-05-15,378
2020-05-16,324
2020-05-17,284
2020-05-18,439
2020-05-19,514
2020-05-20,538
2020-05-21,400
2020-05-22,644
2020-05-23,626
2020-05-24,315
2020-05-25,193
2020-05-26,903
2020-05-27,1290
2020-05-28,923
2020-05-29,879
2020-05-30,851
