Data,CAMiuirii
2020-04-19,1
2020-04-20,2
2020-04-21,1
2020-04-22,2
2020-04-23,2
2020-04-24,3
2020-04-25,7
2020-04-26,13
2020-04-27,14
2020-04-28,17
2020-04-29,18
2020-04-30,20
2020-05-01,20
2020-05-02,23
2020-05-03,25
2020-05-04,25
2020-05-05,29
2020-05-06,30
2020-05-07,33
2020-05-08,38
2020-05-09,40
2020-05-10,41
2020-05-11,41
2020-05-12,45
2020-05-13,49
2020-05-14,49
2020-05-15,56
2020-05-16,56
2020-05-17,56
2020-05-18,56
2020-05-19,60
2020-05-20,63
2020-05-21,65
2020-05-22,67
2020-05-23,68
2020-05-24,71
2020-05-25,72
2020-05-26,72
2020-05-27,78
2020-05-28,85
2020-05-29,86
