Data,CASiEEitiniii
43940.0,4.0
43941.0,4.0
43942.0,6.0
43943.0,12.0
43944.0,14.0
43945.0,14.0
43946.0,14.0
43947.0,14.0
43948.0,14.0
43949.0,19.0
43950.0,25.0
43951.0,32.0
43952.0,30.0
43953.0,31.0
43954.0,35.0
43955.0,37.0
43956.0,38.0
43957.0,39.0
43958.0,46.0
43959.0,50.0
43960.0,52.0
43961.0,61.0
43962.0,61.0
43963.0,62.0
43964.0,72.0
43965.0,79.0
43966.0,78.0
43967.0,83.0
43968.0,82.0
43969.0,90.0
43970.0,90.0
43971.0,91.0
43972.0,92.0
43973.0,104.0
43974.0,109.0
43975.0,111.0
43976.0,115.0
43977.0,125.0
43978.0,126.0
43979.0,151.0
43980.0,160.0
43981.0,162.0
43982.0,167.0
43983.0,171.0
43984.0,178.0
43985.0,183.0
43986.0,190.0
