Data,SESPRSCA35062
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,3.0
2020-04-01,4.0
2020-04-02,3.0
2020-04-03,5.0
2020-04-04,5.0
2020-04-05,6.0
2020-04-06,9.0
2020-04-07,11.0
2020-04-08,12.0
2020-04-09,14.0
2020-04-10,16.0
2020-04-11,16.0
2020-04-12,16.0
2020-04-13,17.0
2020-04-14,20.0
2020-04-15,32.0
2020-04-16,36.0
2020-04-17,48.0
2020-04-18,67.0
2020-04-19,74.0
2020-04-20,77.0
2020-04-21,77.0
2020-04-22,77.0
2020-04-23,84.0
2020-04-24,85.0
2020-04-25,99.0
2020-04-26,109.0
2020-04-27,114.0
2020-04-28,119.0
2020-04-29,128.0
2020-04-30,142.0
2020-05-01,156.0
2020-05-02,157.0
2020-05-03,159.0
2020-05-04,159.0
2020-05-05,167.0
2020-05-06,193.0
2020-05-07,205.0
2020-05-08,218.0
2020-05-09,230.0
2020-05-10,231.0
2020-05-11,231.0
2020-05-12,254.0
2020-05-13,297.0
2020-05-14,321.0
2020-05-15,353.0
2020-05-16,379.0
2020-05-17,385.0
2020-05-18,386.0
2020-05-19,399.0
2020-05-20,410.0
2020-05-21,438.0
2020-05-22,451.0
2020-05-23,482.0
2020-05-24,483.0
2020-05-25,484.0
2020-05-26,492.0
2020-05-27,543.0
2020-05-28,564.0
2020-05-29,596.0
2020-05-30,661.0
2020-05-31,667.0
2020-06-01,668.0
2020-06-02,725.0
2020-06-03,780.0
2020-06-04,839.0
2020-06-05,905.0
2020-06-06,970.0
2020-06-07,992.0
2020-06-08,1005.0
2020-06-09,1050.0
2020-06-10,1134.0
2020-06-11,1245.0
2020-06-12,1323.0
2020-06-13,1359.0
2020-06-14,1387.0
2020-06-15,1389.0
