Data,SERJRSCA33006
2020-03-27,0.0
2020-03-28,43.0
2020-03-29,49.0
2020-03-30,60.0
2020-03-31,73.0
2020-04-01,81.0
2020-04-02,84.0
2020-04-03,88.0
2020-04-04,111.0
2020-04-05,125.0
2020-04-06,129.0
2020-04-07,144.0
2020-04-08,161.0
2020-04-09,184.0
2020-04-10,193.0
2020-04-11,226.0
2020-04-12,246.0
2020-04-13,258.0
2020-04-14,298.0
2020-04-15,337.0
2020-04-16,339.0
2020-04-17,366.0
2020-04-18,385.0
2020-04-19,408.0
2020-04-20,422.0
2020-04-21,449.0
2020-04-22,473.0
2020-04-23,510.0
2020-04-24,525.0
2020-04-25,552.0
2020-04-26,608.0
2020-04-27,629.0
2020-04-28,682.0
2020-04-29,815.0
2020-04-30,912.0
2020-05-01,1033.0
2020-05-02,1056.0
2020-05-03,1120.0
2020-05-04,1137.0
2020-05-05,1167.0
2020-05-06,1225.0
2020-05-07,1311.0
2020-05-08,1486.0
2020-05-09,1545.0
2020-05-10,1658.0
2020-05-11,1837.0
2020-05-12,1901.0
2020-05-13,1906.0
2020-05-14,1995.0
2020-05-15,2011.0
2020-05-16,2467.0
2020-05-17,2466.0
2020-05-18,3658.0
2020-05-19,3670.0
2020-05-20,3674.0
2020-05-21,3679.0
2020-05-22,3697.0
2020-05-23,3714.0
2020-05-24,4271.0
2020-05-25,4423.0
2020-05-26,4101.0
2020-05-27,4183.0
2020-05-28,4963.0
2020-05-29,5727.0
2020-05-30,6678.0
2020-05-31,6705.0
2020-06-01,6752.0
2020-06-02,7095.0
2020-06-03,7351.0
2020-06-04,7609.0
2020-06-05,7825.0
2020-06-06,8106.0
2020-06-07,8873.0
2020-06-08,9523.0
2020-06-09,9901.0
2020-06-10,9847.0
2020-06-11,9947.0
2020-06-12,10334.0
2020-06-13,10483.0
2020-06-14,10581.0
2020-06-15,10821.0
2020-06-16,11070.0
2020-06-17,11482.0
2020-06-18,11504.0
2020-06-19,12669.0
2020-06-20,12963.0
2020-06-21,13071.0
2020-06-22,13337.0
2020-06-23,13824.0
2020-06-24,14308.0
2020-06-25,14982.0
2020-06-26,15460.0
2020-06-27,15521.0
2020-06-28,16050.0
2020-06-29,16100.0
2020-06-30,16135.0
2020-07-01,16299.0
2020-07-02,16371.0
2020-07-03,16875.0
2020-07-04,17113.0
2020-07-05,17462.0
2020-07-06,17521.0
2020-07-07,17790.0
2020-07-08,18123.0
2020-07-09,18301.0
2020-07-10,18610.0
2020-07-11,18657.0
2020-07-12,18657.0
2020-07-13,19146.0
2020-07-14,19216.0
2020-07-15,19534.0
2020-07-16,19540.0
2020-07-17,19738.0
2020-07-18,19738.0
2020-07-19,20510.0
