Data,CNCiE_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,5.0
2020-03-18,4.0
2020-03-19,11.0
2020-03-20,35.0
2020-03-21,13.0
2020-03-22,44.0
2020-03-23,51.0
2020-03-24,19.0
2020-03-25,18.0
2020-03-26,35.0
2020-03-27,47.0
2020-03-28,32.0
2020-03-29,34.0
2020-03-30,24.0
2020-03-31,18.0
2020-04-01,54.0
2020-04-02,106.0
2020-04-03,77.0
2020-04-04,103.0
2020-04-05,93.0
2020-04-06,190.0
2020-04-07,38.0
2020-04-08,240.0
2020-04-09,134.0
2020-04-10,53.0
2020-04-11,104.0
2020-04-12,94.0
2020-04-13,124.0
2020-04-14,205.0
2020-04-15,152.0
2020-04-16,229.0
2020-04-17,298.0
2020-04-18,350.0
2020-04-19,218.0
2020-04-20,230.0
2020-04-21,234.0
2020-04-22,194.0
2020-04-23,688.0
2020-04-24,202.0
2020-04-25,621.0
2020-04-26,412.0
2020-04-27,893.0
2020-04-28,192.0
2020-04-29,349.0
2020-04-30,339.0
2020-05-01,273.0
2020-05-02,352.0
2020-05-03,139.0
2020-05-04,2670.0
2020-05-05,430.0
2020-05-06,834.0
2020-05-07,1584.0
2020-05-08,1068.0
2020-05-09,923.0
2020-05-10,813.0
2020-05-11,907.0
2020-05-12,813.0
2020-05-13,744.0
2020-05-14,1921.0
2020-05-15,1413.0
2020-05-16,1305.0
2020-05-17,460.0
2020-05-18,2108.0
2020-05-19,1749.0
2020-05-20,2448.0
2020-05-21,853.0
2020-05-22,3160.0
2020-05-23,549.0
2020-05-24,473.0
2020-05-25,590.0
2020-05-26,836.0
2020-05-27,254.0
2020-05-28,546.0
2020-05-29,574.0
2020-05-30,8111.0
2020-05-31,1983.0
2020-06-01,2015.0
2020-06-02,2569.0
2020-06-03,2983.0
2020-06-04,3739.0
2020-06-05,1800.0
2020-06-06,1980.0
2020-06-07,696.0
2020-06-08,1334.0
2020-06-09,2779.0
2020-06-10,3018.0
2020-06-11,2477.0
2020-06-12,1826.0
2020-06-13,724.0
2020-06-14,319.0
2020-06-15,2714.0
2020-06-16,1827.0
2020-06-17,3678.0
2020-06-18,2306.0
2020-06-19,2590.0
2020-06-20,2293.0
2020-06-21,710.0
2020-06-22,1292.0
2020-06-23,3370.0
2020-06-24,2050.0
2020-06-25,2548.0
2020-06-26,2296.0
2020-06-27,2206.0
2020-06-28,940.0
2020-06-29,657.0
2020-06-30,474.0
2020-07-01,4318.0
2020-07-02,2507.0
2020-07-03,2517.0
2020-07-04,2911.0
2020-07-05,512.0
2020-07-06,1013.0
2020-07-07,2475.0
2020-07-08,3519.0
2020-07-09,2529.0
2020-07-10,2546.0
