Data,CABiR_An
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-02-29,2.0
2020-03-01,2.0
2020-03-02,2.0
2020-03-03,2.0
2020-03-04,3.0
2020-03-05,7.0
2020-03-06,13.0
2020-03-07,19.0
2020-03-08,25.0
2020-03-09,25.0
2020-03-10,34.0
2020-03-11,52.0
2020-03-12,77.0
2020-03-13,98.0
2020-03-14,121.0
2020-03-15,200.0
2020-03-16,234.0
2020-03-17,291.0
2020-03-18,428.0
2020-03-19,621.0
2020-03-20,904.0
2020-03-21,1128.0
2020-03-22,1546.0
2020-03-23,1891.0
2020-03-24,2201.0
2020-03-25,2433.0
2020-03-26,2915.0
2020-03-27,3417.0
2020-03-28,3903.0
2020-03-29,4256.0
2020-03-30,4579.0
2020-03-31,5717.0
2020-04-01,6834.0
2020-04-02,7910.0
2020-04-03,9056.0
2020-04-04,10278.0
2020-04-05,11130.0
2020-04-06,12056.0
2020-04-07,13717.0
2020-04-08,15927.0
2020-04-09,17857.0
2020-04-10,19638.0
2020-04-11,20727.0
2020-04-12,22169.0
2020-04-13,23430.0
2020-04-14,25262.0
2020-04-15,28320.0
2020-04-16,30425.0
2020-04-17,33682.0
2020-04-18,36599.0
2020-04-19,38654.0
2020-04-20,40581.0
2020-04-21,43079.0
2020-04-22,45757.0
2020-04-23,49492.0
2020-04-24,52995.0
2020-04-25,58509.0
2020-04-26,61888.0
2020-04-27,66501.0
2020-04-28,71886.0
2020-04-29,78162.0
2020-04-30,85380.0
2020-05-01,91299.0
2020-05-02,96396.0
2020-05-03,101147.0
2020-05-04,107780.0
2020-05-05,114715.0
2020-05-06,125218.0
2020-05-07,135106.0
2020-05-08,145328.0
2020-05-09,155939.0
2020-05-10,162699.0
2020-05-11,168331.0
2020-05-12,177589.0
2020-05-13,188974.0
2020-05-14,202918.0
2020-05-15,218223.0
2020-05-16,233142.0
2020-05-17,241080.0
2020-05-18,254220.0
2020-05-19,271628.0
2020-05-20,291579.0
2020-05-21,310087.0
2020-05-22,330890.0
2020-05-23,347398.0
2020-05-24,363211.0
2020-05-25,374898.0
2020-05-26,391222.0
2020-05-27,411821.0
2020-05-28,438238.0
2020-05-29,465166.0
2020-05-30,498440.0
2020-05-31,514200.0
2020-06-01,526447.0
2020-06-02,555383.0
2020-06-03,584016.0
