Data,NEPERSCA26008
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,2.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,3.0
2020-04-08,3.0
2020-04-09,5.0
2020-04-10,5.0
2020-04-11,7.0
2020-04-12,9.0
2020-04-13,10.0
2020-04-14,10.0
2020-04-15,11.0
2020-04-16,13.0
2020-04-17,15.0
2020-04-18,15.0
2020-04-19,16.0
2020-04-20,19.0
2020-04-21,21.0
2020-04-22,25.0
2020-04-23,30.0
2020-04-24,32.0
2020-04-25,41.0
2020-04-26,45.0
2020-04-27,53.0
2020-04-28,58.0
2020-04-29,63.0
2020-04-30,71.0
2020-05-01,77.0
2020-05-02,89.0
2020-05-03,98.0
2020-05-04,105.0
2020-05-05,111.0
2020-05-06,121.0
2020-05-07,141.0
2020-05-08,163.0
2020-05-09,189.0
2020-05-10,213.0
2020-05-11,237.0
2020-05-12,260.0
2020-05-13,278.0
2020-05-14,292.0
2020-05-15,315.0
2020-05-16,420.0
2020-05-17,458.0
2020-05-18,479.0
2020-05-19,561.0
2020-05-20,664.0
2020-05-21,760.0
2020-05-22,855.0
2020-05-23,931.0
2020-05-24,1019.0
2020-05-25,1065.0
2020-05-26,1126.0
2020-05-27,1208.0
2020-05-28,1258.0
2020-05-29,1419.0
2020-05-30,1524.0
2020-05-31,1574.0
2020-06-01,1659.0
2020-06-02,1706.0
2020-06-03,1791.0
2020-06-04,1942.0
2020-06-05,2056.0
2020-06-06,2166.0
2020-06-07,2239.0
2020-06-08,2297.0
2020-06-09,2333.0
2020-06-10,2437.0
2020-06-11,2531.0
2020-06-12,2669.0
2020-06-13,2762.0
2020-06-14,2828.0
2020-06-15,2844.0
2020-06-16,2905.0
2020-06-17,2995.0
2020-06-18,3171.0
2020-06-19,3279.0
2020-06-20,3439.0
2020-06-21,3556.0
2020-06-22,3583.0
2020-06-23,3649.0
2020-06-24,3817.0
2020-06-25,3915.0
2020-06-26,3960.0
2020-06-27,4142.0
2020-06-28,4231.0
2020-06-29,4263.0
2020-06-30,4291.0
2020-07-01,4348.0
2020-07-02,4463.0
2020-07-03,4568.0
2020-07-04,4646.0
2020-07-05,4823.0
2020-07-06,4854.0
2020-07-07,4890.0
2020-07-08,5011.0
2020-07-09,5095.0
2020-07-10,5178.0
