Data,SEESRSCA32002
2020-03-27,0.0
2020-03-28,46.0
2020-03-29,52.0
2020-03-30,62.0
2020-03-31,75.0
2020-04-01,86.0
2020-04-02,104.0
2020-04-03,121.0
2020-04-04,133.0
2020-04-05,142.0
2020-04-06,169.0
2020-04-07,183.0
2020-04-08,197.0
2020-04-09,241.0
2020-04-10,263.0
2020-04-11,311.0
2020-04-12,340.0
2020-04-13,382.0
2020-04-14,415.0
2020-04-15,502.0
2020-04-16,686.0
2020-04-17,840.0
2020-04-18,949.0
2020-04-19,1009.0
2020-04-20,1042.0
2020-04-21,1115.0
2020-04-22,1148.0
2020-04-23,1210.0
2020-04-24,1332.0
2020-04-25,1441.0
2020-04-26,1550.0
2020-04-27,1661.0
2020-04-28,1855.0
2020-04-29,1983.0
2020-04-30,2317.0
2020-05-01,2503.0
2020-05-02,2673.0
2020-05-03,2760.0
2020-05-04,2877.0
2020-05-05,3026.0
2020-05-06,3158.0
2020-05-07,3381.0
2020-05-08,3566.0
2020-05-09,3699.0
2020-05-10,3851.0
2020-05-11,4024.0
2020-05-12,4203.0
2020-05-13,4443.0
2020-05-14,4767.0
2020-05-15,5027.0
2020-05-16,5347.0
2020-05-17,5458.0
2020-05-18,5767.0
2020-05-19,6167.0
2020-05-20,6455.0
2020-05-21,7037.0
2020-05-22,7497.0
2020-05-23,7837.0
2020-05-24,7907.0
2020-05-25,8153.0
2020-05-26,8507.0
2020-05-27,8951.0
2020-05-28,9397.0
2020-05-29,9883.0
2020-05-30,10277.0
2020-05-31,10470.0
2020-06-01,10732.0
2020-06-02,11459.0
2020-06-03,12141.0
2020-06-04,12595.0
2020-06-05,13469.0
2020-06-06,14116.0
2020-06-07,14615.0
2020-06-08,15322.0
2020-06-09,16279.0
2020-06-10,17299.0
2020-06-11,17930.0
2020-06-12,18724.0
2020-06-13,19147.0
2020-06-14,19525.0
2020-06-15,20343.0
2020-06-16,21201.0
2020-06-17,22215.0
2020-06-18,23007.0
2020-06-19,23846.0
2020-06-20,24500.0
2020-06-21,24909.0
2020-06-22,25428.0
2020-06-23,25960.0
2020-06-24,26806.0
2020-06-25,27895.0
2020-06-26,28855.0
2020-06-27,28855.0
2020-06-28,30058.0
2020-06-29,30830.0
2020-06-30,31967.0
2020-07-01,33122.0
2020-07-02,33810.0
2020-07-03,34594.0
2020-07-04,35333.0
2020-07-05,35616.0
2020-07-06,36057.0
2020-07-07,37317.0
2020-07-08,38440.0
2020-07-09,39295.0
2020-07-10,39999.0
2020-07-11,40431.0
2020-07-12,40703.0
