Data,SUPRRSCA41002
2020-03-27,0.0
2020-03-28,81.0
2020-03-29,83.0
2020-03-30,89.0
2020-03-31,104.0
2020-04-01,120.0
2020-04-02,125.0
2020-04-03,147.0
2020-04-04,195.0
2020-04-05,216.0
2020-04-06,219.0
2020-04-07,243.0
2020-04-08,263.0
2020-04-09,309.0
2020-04-10,328.0
2020-04-11,355.0
2020-04-12,385.0
2020-04-13,387.0
2020-04-14,391.0
2020-04-15,396.0
2020-04-16,412.0
2020-04-17,432.0
2020-04-18,452.0
2020-04-19,468.0
2020-04-20,479.0
2020-04-21,483.0
2020-04-22,493.0
2020-04-23,502.0
2020-04-24,515.0
2020-04-25,525.0
2020-04-26,530.0
2020-04-27,545.0
2020-04-28,559.0
2020-04-29,573.0
2020-04-30,594.0
2020-05-01,609.0
2020-05-02,627.0
2020-05-03,631.0
2020-05-04,652.0
2020-05-05,660.0
2020-05-06,675.0
2020-05-07,691.0
2020-05-08,712.0
2020-05-09,757.0
2020-05-10,778.0
2020-05-11,783.0
2020-05-12,795.0
2020-05-13,833.0
2020-05-14,858.0
2020-05-15,898.0
2020-05-16,935.0
2020-05-17,948.0
2020-05-18,970.0
2020-05-19,994.0
2020-05-20,1044.0
2020-05-21,1108.0
2020-05-22,1150.0
2020-05-23,1187.0
2020-05-24,1230.0
2020-05-25,1268.0
2020-05-26,1304.0
2020-05-27,1355.0
2020-05-28,1453.0
2020-05-29,1496.0
2020-05-30,1542.0
2020-05-31,1622.0
2020-06-01,1682.0
2020-06-02,1734.0
2020-06-03,1886.0
2020-06-04,1964.0
2020-06-05,2147.0
2020-06-06,2207.0
2020-06-07,2312.0
2020-06-08,2346.0
2020-06-09,2397.0
2020-06-10,2534.0
2020-06-11,2758.0
2020-06-12,2831.0
2020-06-13,2999.0
2020-06-14,3102.0
