Data,GDM
BR-MG,10
BR-MG,3
BR-MG,8
BR-MG,9
BR-MG,10
BR-MG,16
BR-MG,23
BR-MG,25
BR-MG,19
BR-MG,-21
BR-MG,-21
BR-MG,-11
BR-MG,5
BR-MG,2
BR-MG,-4
BR-MG,-6
BR-MG,3
BR-MG,4
BR-MG,6
BR-MG,9
BR-MG,14
BR-MG,8
BR-MG,4
BR-MG,11
BR-MG,11
BR-MG,11
BR-MG,11
BR-MG,16
BR-MG,6
BR-MG,2
BR-MG,4
BR-MG,-4
BR-MG,-13
BR-MG,-20
BR-MG,-29
BR-MG,-46
BR-MG,-57
BR-MG,-53
BR-MG,-56
BR-MG,-56
BR-MG,-56
BR-MG,-54
BR-MG,-54
BR-MG,-57
BR-MG,-52
BR-MG,-50
BR-MG,-50
BR-MG,-49
BR-MG,-48
BR-MG,-47
BR-MG,-52
BR-MG,-45
BR-MG,-44
BR-MG,-44
BR-MG,-40
BR-MG,-66
BR-MG,-44
BR-MG,-50
BR-MG,-44
BR-MG,-46
BR-MG,-45
BR-MG,-40
BR-MG,-37
BR-MG,-42
BR-MG,-51
BR-MG,-42
BR-MG,-61
BR-MG,-40
BR-MG,-40
BR-MG,-39
BR-MG,-40
BR-MG,-47
BR-MG,-39
BR-MG,-38
BR-MG,-38
BR-MG,-34
BR-MG,-58
BR-MG,-42
BR-MG,-47
BR-MG,-38
BR-MG,-37
BR-MG,-35
BR-MG,-35
BR-MG,-29
BR-MG,-29
BR-MG,-37
BR-MG,-35
BR-MG,-35
BR-MG,-36
BR-MG,-38
BR-MG,-34
BR-MG,-39
BR-MG,-45
BR-MG,-37
BR-MG,-37
BR-MG,-35
BR-MG,-35
BR-MG,-33
BR-MG,-36
BR-MG,-51
BR-MG,-35
BR-MG,-34
BR-MG,-34
BR-MG,-33
BR-MG,-29
BR-MG,-31
BR-MG,-41
BR-MG,-31
BR-MG,-31
BR-MG,-30
BR-MG,-29
BR-MG,-24
BR-MG,-26
BR-MG,-38
