Data,CNSiP_An
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
