Data,GDM
BR-PR,7
BR-PR,5
BR-PR,8
BR-PR,10
BR-PR,8
BR-PR,15
BR-PR,19
BR-PR,10
BR-PR,5
BR-PR,-26
BR-PR,-38
BR-PR,-12
BR-PR,11
BR-PR,10
BR-PR,2
BR-PR,-2
BR-PR,7
BR-PR,10
BR-PR,11
BR-PR,15
BR-PR,17
BR-PR,11
BR-PR,9
BR-PR,12
BR-PR,14
BR-PR,14
BR-PR,15
BR-PR,15
BR-PR,7
BR-PR,3
BR-PR,2
BR-PR,-3
BR-PR,-16
BR-PR,-22
BR-PR,-32
BR-PR,-49
BR-PR,-62
BR-PR,-60
BR-PR,-63
BR-PR,-63
BR-PR,-62
BR-PR,-61
BR-PR,-59
BR-PR,-64
BR-PR,-59
BR-PR,-57
BR-PR,-57
BR-PR,-56
BR-PR,-54
BR-PR,-52
BR-PR,-56
BR-PR,-54
BR-PR,-49
BR-PR,-48
BR-PR,-44
BR-PR,-70
BR-PR,-46
BR-PR,-52
BR-PR,-49
BR-PR,-49
BR-PR,-47
BR-PR,-45
BR-PR,-43
BR-PR,-46
BR-PR,-53
BR-PR,-46
BR-PR,-66
BR-PR,-43
BR-PR,-42
BR-PR,-42
BR-PR,-41
BR-PR,-48
BR-PR,-43
BR-PR,-41
BR-PR,-41
BR-PR,-36
BR-PR,-65
BR-PR,-42
BR-PR,-48
BR-PR,-41
BR-PR,-40
BR-PR,-42
BR-PR,-34
BR-PR,-32
BR-PR,-26
BR-PR,-38
BR-PR,-36
BR-PR,-35
BR-PR,-39
BR-PR,-36
BR-PR,-35
BR-PR,-35
BR-PR,-45
BR-PR,-38
BR-PR,-36
BR-PR,-34
BR-PR,-33
BR-PR,-41
BR-PR,-39
BR-PR,-49
BR-PR,-36
BR-PR,-35
BR-PR,-34
BR-PR,-32
BR-PR,-30
BR-PR,-29
BR-PR,-39
BR-PR,-36
BR-PR,-38
BR-PR,-34
BR-PR,-35
BR-PR,-30
BR-PR,-31
BR-PR,-39
