Data,CASiELigirioi
43939.0,1.0
43940.0,1.0
43941.0,1.0
43942.0,1.0
43943.0,2.0
43944.0,2.0
43945.0,2.0
43946.0,2.0
43947.0,2.0
43948.0,2.0
43949.0,2.0
43950.0,7.0
43951.0,8.0
43952.0,11.0
43953.0,13.0
43954.0,13.0
43955.0,13.0
43956.0,15.0
43957.0,17.0
43958.0,18.0
43959.0,18.0
43960.0,18.0
43961.0,25.0
43962.0,25.0
43963.0,27.0
43964.0,29.0
43965.0,29.0
43966.0,30.0
43967.0,31.0
43968.0,31.0
43969.0,32.0
43970.0,34.0
43971.0,38.0
43972.0,99.0
43973.0,99.0
43974.0,110.0
43975.0,118.0
43976.0,118.0
43977.0,126.0
43978.0,127.0
43979.0,128.0
43980.0,138.0
43981.0,146.0
43982.0,148.0
43983.0,161.0
43984.0,161.0
43985.0,167.0
43986.0,167.0
