Data,CAMiG_An
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,5
2020-03-17,7
2020-03-18,15
2020-03-19,29
2020-03-20,35
2020-03-21,38
2020-03-22,83
2020-03-23,128
2020-03-24,130
2020-03-25,133
2020-03-26,153
2020-03-27,189
2020-03-28,205
2020-03-29,231
2020-03-30,261
2020-03-31,275
2020-04-01,314
2020-04-02,370
2020-04-03,397
2020-04-04,430
2020-04-05,498
2020-04-06,525
2020-04-07,559
2020-04-08,614
2020-04-09,655
2020-04-10,698
2020-04-11,750
2020-04-12,806
2020-04-13,815
2020-04-14,884
2020-04-15,903
2020-04-16,958
2020-04-17,1021
2020-04-18,1077
2020-04-19,1154
2020-04-20,1189
2020-04-21,1230
2020-04-22,1283
2020-04-23,1308
2020-04-24,1419
2020-04-25,1481
2020-04-26,1548
2020-04-27,1586
2020-04-28,1649
2020-04-29,1758
2020-04-30,1827
2020-05-01,1935
2020-05-02,2023
2020-05-03,2118
2020-05-04,2347
2020-05-05,2452
2020-05-06,2605
2020-05-07,2770
2020-05-08,2943
2020-05-09,3123
2020-05-10,3237
2020-05-11,3320
2020-05-12,3435
2020-05-13,3733
2020-05-14,3950
2020-05-15,4196
2020-05-16,4474
2020-05-17,4611
2020-05-18,4695
2020-05-19,4977
2020-05-20,5286
2020-05-21,5596
2020-05-22,5995
2020-05-23,6338
2020-05-24,6668
2020-05-25,6962
2020-05-26,7516
2020-05-27,8011
2020-05-28,8686
2020-05-29,9232
2020-05-30,9630
