Data,NOAMRSCA13004
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,2.0
2020-03-30,2.0
2020-03-31,4.0
2020-04-01,4.0
2020-04-02,4.0
2020-04-03,4.0
2020-04-04,4.0
2020-04-05,5.0
2020-04-06,8.0
2020-04-07,9.0
2020-04-08,11.0
2020-04-09,11.0
2020-04-10,11.0
2020-04-11,11.0
2020-04-12,11.0
2020-04-13,15.0
2020-04-14,15.0
2020-04-15,15.0
2020-04-16,15.0
2020-04-17,17.0
2020-04-18,15.0
2020-04-19,27.0
2020-04-20,27.0
2020-04-21,39.0
2020-04-22,48.0
2020-04-23,56.0
2020-04-24,62.0
2020-04-25,77.0
2020-04-26,97.0
2020-04-27,103.0
2020-04-28,121.0
2020-04-29,144.0
2020-04-30,150.0
2020-05-01,169.0
2020-05-02,184.0
2020-05-03,196.0
2020-05-04,212.0
2020-05-05,242.0
2020-05-06,269.0
2020-05-07,298.0
2020-05-08,330.0
2020-05-09,357.0
2020-05-10,378.0
2020-05-11,383.0
2020-05-12,452.0
2020-05-13,488.0
2020-05-14,545.0
2020-05-15,635.0
2020-05-16,712.0
2020-05-17,734.0
2020-05-18,743.0
2020-05-19,835.0
2020-05-20,916.0
2020-05-21,992.0
2020-05-22,1039.0
2020-05-23,1216.0
2020-05-24,1245.0
2020-05-25,1292.0
2020-05-26,1386.0
2020-05-27,1454.0
2020-05-28,1499.0
2020-05-29,1569.0
2020-05-30,1665.0
2020-05-31,1714.0
2020-06-01,1741.0
2020-06-02,1781.0
2020-06-03,1839.0
2020-06-04,1921.0
2020-06-05,1997.0
2020-06-06,2057.0
2020-06-07,2066.0
2020-06-08,2115.0
2020-06-09,2186.0
2020-06-10,2253.0
2020-06-11,2330.0
2020-06-12,2345.0
2020-06-13,2390.0
2020-06-14,2398.0
2020-06-15,2406.0
2020-06-16,2522.0
2020-06-17,2561.0
2020-06-18,2662.0
2020-06-19,2699.0
2020-06-20,2793.0
2020-06-21,2823.0
2020-06-22,2839.0
2020-06-23,2903.0
2020-06-24,2959.0
2020-06-25,2990.0
2020-06-26,3047.0
2020-06-27,3085.0
2020-06-28,3108.0
2020-06-29,3120.0
2020-06-30,3148.0
2020-07-01,3235.0
2020-07-02,3261.0
2020-07-03,3323.0
2020-07-04,3368.0
2020-07-05,3370.0
2020-07-06,3421.0
2020-07-07,3491.0
2020-07-08,3517.0
2020-07-09,3613.0
2020-07-10,3671.0
2020-07-11,3705.0
2020-07-12,3731.0
2020-07-13,3746.0
2020-07-14,3771.0
2020-07-15,3856.0
