Data,RNPiE_An
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,3
2020-03-27,4
2020-03-28,5
2020-03-29,5
2020-03-30,6
2020-03-31,6
2020-04-01,8
2020-04-02,9
2020-04-03,10
2020-04-04,14
2020-04-05,21
2020-04-06,30
2020-04-07,34
2020-04-08,46
2020-04-09,56
2020-04-10,65
2020-04-11,72
2020-04-12,85
2020-04-13,102
2020-04-14,115
2020-04-15,143
2020-04-16,160
2020-04-17,186
2020-04-18,205
2020-04-19,216
2020-04-20,234
2020-04-21,260
2020-04-22,282
2020-04-23,312
2020-04-24,352
2020-04-25,381
2020-04-26,415
2020-04-27,450
2020-04-28,508
2020-04-29,538
2020-04-30,565
2020-05-01,603
2020-05-02,628
2020-05-03,652
2020-05-04,691
2020-05-05,749
2020-05-06,803
2020-05-07,845
2020-05-08,927
2020-05-09,972
2020-05-10,1047
2020-05-11,1087
2020-05-12,1157
2020-05-13,1224
2020-05-14,1298
2020-05-15,1381
2020-05-16,1461
2020-05-17,1516
2020-05-18,1640
2020-05-19,1741
2020-05-20,1834
2020-05-21,1925
2020-05-22,2057
2020-05-23,2144
2020-05-24,2200
2020-05-25,2248
