Data,CARiR_An
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,8
2020-03-26,8
2020-03-27,10
2020-03-28,12
2020-03-29,16
2020-03-30,16
2020-03-31,16
2020-04-01,22
2020-04-02,26
2020-04-03,30
2020-04-04,37
2020-04-05,42
2020-04-06,42
2020-04-07,42
2020-04-08,49
2020-04-09,52
2020-04-10,63
2020-04-11,75
2020-04-12,79
2020-04-13,83
2020-04-14,113
2020-04-15,114
2020-04-16,142
2020-04-17,164
2020-04-18,201
2020-04-19,222
2020-04-20,244
2020-04-21,247
2020-04-22,280
2020-04-23,297
2020-04-24,304
2020-04-25,345
2020-04-26,401
2020-04-27,407
2020-04-28,425
2020-04-29,452
2020-04-30,519
2020-05-01,602
2020-05-02,668
2020-05-03,740
2020-05-04,806
2020-05-05,869
2020-05-06,932
2020-05-07,1020
2020-05-08,1124
2020-05-09,1202
2020-05-10,1290
2020-05-11,1295
2020-05-12,1328
2020-05-13,1411
2020-05-14,1500
2020-05-15,1589
2020-05-16,1706
2020-05-17,1791
2020-05-18,1876
2020-05-19,1985
2020-05-20,2067
2020-05-21,2146
2020-05-22,2306
2020-05-23,2374
2020-05-24,2439
2020-05-25,2514
2020-05-26,2583
2020-05-27,2682
