Data,CACiESibiai
43918.0,4.0
43919.0,5.0
43920.0,5.0
43921.0,5.0
43922.0,5.0
43923.0,5.0
43924.0,5.0
43925.0,5.0
43926.0,7.0
43927.0,10.0
43928.0,11.0
43929.0,14.0
43930.0,14.0
43931.0,14.0
43932.0,14.0
43933.0,14.0
43934.0,17.0
43935.0,17.0
43936.0,20.0
43937.0,21.0
43938.0,21.0
43939.0,24.0
43940.0,28.0
43941.0,29.0
43942.0,32.0
43943.0,69.0
43944.0,75.0
43945.0,79.0
43946.0,90.0
43947.0,92.0
43948.0,104.0
43949.0,104.0
43950.0,121.0
43951.0,123.0
43952.0,141.0
43953.0,141.0
43954.0,142.0
43955.0,161.0
43956.0,170.0
43957.0,171.0
43958.0,236.0
43959.0,256.0
43960.0,261.0
43961.0,270.0
43962.0,308.0
43963.0,324.0
43964.0,324.0
43965.0,441.0
43966.0,529.0
43967.0,538.0
43968.0,547.0
43969.0,737.0
43970.0,794.0
43971.0,838.0
43972.0,840.0
43973.0,1117.0
43974.0,1126.0
43975.0,1152.0
43976.0,1159.0
43977.0,1163.0
43978.0,1170.0
43979.0,1186.0
43980.0,1195.0
43981.0,2132.0
43982.0,2147.0
43983.0,2222.0
43984.0,2360.0
43985.0,2503.0
43986.0,2771.0
