Data,OACiEFiriaieiai
2020-03-27,0
2020-03-28,4
2020-03-29,5
2020-03-30,5
2020-03-31,6
2020-04-01,6
2020-04-02,16
2020-04-03,17
2020-04-04,17
2020-04-05,20
2020-04-06,24
2020-04-07,30
2020-04-08,41
2020-04-09,45
2020-04-10,53
2020-04-11,58
2020-04-12,59
2020-04-13,78
2020-04-14,86
2020-04-15,93
2020-04-16,95
2020-04-17,113
2020-04-18,141
2020-04-19,148
2020-04-20,164
2020-04-21,178
2020-04-22,189
2020-04-23,212
2020-04-24,228
2020-04-25,259
2020-04-26,285
2020-04-27,310
2020-04-28,329
2020-04-29,349
2020-04-30,373
2020-05-01,403
2020-05-02,498
2020-05-03,528
2020-05-04,553
2020-05-05,608
2020-05-06,651
2020-05-07,694
2020-05-08,741
2020-05-09,809
2020-05-10,840
2020-05-11,893
2020-05-12,950
2020-05-13,1022
2020-05-14,1039
2020-05-15,1088
2020-05-16,1163
2020-05-17,1174
2020-05-18,1253
2020-05-19,1307
2020-05-20,1333
2020-05-21,1503
2020-05-22,1548
2020-05-23,1574
2020-05-24,1579
2020-05-25,1687
2020-05-26,1769
2020-05-27,1783
2020-05-28,1804
2020-05-29,1877
2020-05-30,1939
2020-05-31,1967
2020-06-01,2084
2020-06-02,2231
2020-06-03,2334
2020-06-04,2424
2020-06-05,2444
2020-06-06,2459
2020-06-07,2458
2020-06-08,2539
2020-06-09,2615
2020-06-10,2697
2020-06-11,2783
2020-06-12,2843
2020-06-13,2851
2020-06-14,2853
2020-06-15,2915
2020-06-16,2943
2020-06-17,3053
2020-06-18,3084
2020-06-19,3110
2020-06-20,3112
2020-06-21,3110
2020-06-22,3138
