Data,GDM
BR-DF,8
BR-DF,4
BR-DF,11
BR-DF,14
BR-DF,9
BR-DF,12
BR-DF,12
BR-DF,-3
BR-DF,-6
BR-DF,-34
BR-DF,-35
BR-DF,-17
BR-DF,5
BR-DF,4
BR-DF,-5
BR-DF,-4
BR-DF,9
BR-DF,11
BR-DF,10
BR-DF,10
BR-DF,11
BR-DF,6
BR-DF,6
BR-DF,15
BR-DF,17
BR-DF,13
BR-DF,3
BR-DF,2
BR-DF,-2
BR-DF,-5
BR-DF,-8
BR-DF,-13
BR-DF,-21
BR-DF,-30
BR-DF,-40
BR-DF,-52
BR-DF,-62
BR-DF,-60
BR-DF,-62
BR-DF,-64
BR-DF,-62
BR-DF,-59
BR-DF,-59
BR-DF,-56
BR-DF,-57
BR-DF,-56
BR-DF,-56
BR-DF,-55
BR-DF,-52
BR-DF,-49
BR-DF,-53
BR-DF,-52
BR-DF,-51
BR-DF,-51
BR-DF,-47
BR-DF,-64
BR-DF,-46
BR-DF,-49
BR-DF,-51
BR-DF,-52
BR-DF,-52
BR-DF,-50
BR-DF,-42
BR-DF,-40
BR-DF,-40
BR-DF,-46
BR-DF,-59
BR-DF,-46
BR-DF,-47
BR-DF,-41
BR-DF,-35
BR-DF,-38
BR-DF,-43
BR-DF,-41
BR-DF,-41
BR-DF,-38
BR-DF,-52
BR-DF,-38
BR-DF,-37
BR-DF,-40
BR-DF,-38
BR-DF,-37
BR-DF,-37
BR-DF,-32
BR-DF,-26
BR-DF,-20
BR-DF,-38
BR-DF,-36
BR-DF,-38
BR-DF,-39
BR-DF,-38
BR-DF,-33
BR-DF,-37
BR-DF,-40
BR-DF,-39
BR-DF,-39
BR-DF,-38
BR-DF,-35
BR-DF,-31
BR-DF,-37
BR-DF,-38
BR-DF,-37
BR-DF,-36
BR-DF,-36
BR-DF,-33
BR-DF,-28
BR-DF,-31
BR-DF,-35
BR-DF,-34
BR-DF,-34
BR-DF,-33
BR-DF,-29
BR-DF,-24
BR-DF,-27
