Data,CAPiITirisini
43918.0,9.0
43919.0,12.0
43920.0,14.0
43921.0,16.0
43922.0,16.0
43923.0,17.0
43924.0,18.0
43925.0,19.0
43926.0,20.0
43927.0,20.0
43928.0,24.0
43929.0,24.0
43930.0,31.0
43931.0,32.0
43932.0,33.0
43933.0,36.0
43934.0,41.0
43935.0,47.0
43936.0,63.0
43937.0,77.0
43938.0,86.0
43939.0,94.0
43940.0,112.0
43941.0,122.0
43942.0,136.0
43943.0,150.0
43944.0,156.0
43945.0,179.0
43946.0,204.0
43947.0,223.0
43948.0,237.0
43949.0,277.0
43950.0,284.0
43951.0,321.0
43952.0,383.0
43953.0,420.0
43954.0,458.0
43955.0,485.0
43956.0,540.0
43957.0,580.0
43958.0,653.0
43959.0,697.0
43960.0,733.0
43961.0,755.0
43962.0,786.0
43963.0,847.0
43964.0,937.0
43965.0,1033.0
43966.0,1089.0
43967.0,1146.0
43968.0,1245.0
43969.0,1260.0
43970.0,1327.0
43971.0,1385.0
43972.0,1504.0
43973.0,1577.0
43974.0,1626.0
43975.0,1708.0
43976.0,1771.0
43977.0,1821.0
43978.0,1890.0
43979.0,1982.0
43980.0,2067.0
43981.0,2157.0
43982.0,2248.0
43983.0,2304.0
43984.0,2432.0
43985.0,2531.0
43986.0,2650.0
