Data,GDM
BR-SC,-1
BR-SC,-7
BR-SC,5
BR-SC,5
BR-SC,6
BR-SC,10
BR-SC,9
BR-SC,21
BR-SC,-3
BR-SC,-17
BR-SC,-18
BR-SC,-1
BR-SC,7
BR-SC,2
BR-SC,-6
BR-SC,-15
BR-SC,-1
BR-SC,0
BR-SC,5
BR-SC,6
BR-SC,7
BR-SC,0
BR-SC,-6
BR-SC,-1
BR-SC,8
BR-SC,9
BR-SC,8
BR-SC,4
BR-SC,-6
BR-SC,-12
BR-SC,-6
BR-SC,-14
BR-SC,-32
BR-SC,-70
BR-SC,-77
BR-SC,-79
BR-SC,-82
BR-SC,-83
BR-SC,-82
BR-SC,-80
BR-SC,-79
BR-SC,-78
BR-SC,-75
BR-SC,-76
BR-SC,-77
BR-SC,-75
BR-SC,-74
BR-SC,-74
BR-SC,-72
BR-SC,-68
BR-SC,-72
BR-SC,-73
BR-SC,-68
BR-SC,-66
BR-SC,-63
BR-SC,-76
BR-SC,-62
BR-SC,-66
BR-SC,-67
BR-SC,-67
BR-SC,-65
BR-SC,-66
BR-SC,-66
BR-SC,-62
BR-SC,-70
BR-SC,-66
BR-SC,-73
BR-SC,-64
BR-SC,-65
BR-SC,-65
BR-SC,-59
BR-SC,-64
BR-SC,-68
BR-SC,-65
BR-SC,-63
BR-SC,-59
BR-SC,-73
BR-SC,-59
BR-SC,-62
BR-SC,-63
BR-SC,-61
BR-SC,-63
BR-SC,-58
BR-SC,-57
BR-SC,-49
BR-SC,-57
BR-SC,-61
BR-SC,-59
BR-SC,-63
BR-SC,-62
BR-SC,-61
BR-SC,-55
BR-SC,-62
BR-SC,-63
BR-SC,-61
BR-SC,-60
BR-SC,-60
BR-SC,-63
BR-SC,-56
BR-SC,-61
BR-SC,-62
BR-SC,-60
BR-SC,-59
BR-SC,-59
BR-SC,-58
BR-SC,-53
BR-SC,-58
BR-SC,-64
BR-SC,-61
BR-SC,-60
BR-SC,-61
BR-SC,-63
BR-SC,-53
BR-SC,-56
