Data,NOPARSCA15011
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,1.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,3.0
2020-04-05,3.0
2020-04-06,3.0
2020-04-07,4.0
2020-04-08,5.0
2020-04-09,5.0
2020-04-10,6.0
2020-04-11,6.0
2020-04-12,6.0
2020-04-13,6.0
2020-04-14,8.0
2020-04-15,8.0
2020-04-16,8.0
2020-04-17,8.0
2020-04-18,12.0
2020-04-19,14.0
2020-04-20,16.0
2020-04-21,16.0
2020-04-22,18.0
2020-04-23,18.0
2020-04-24,20.0
2020-04-25,31.0
2020-04-26,36.0
2020-04-27,43.0
2020-04-28,58.0
2020-04-29,67.0
2020-04-30,80.0
2020-05-01,101.0
2020-05-02,125.0
2020-05-03,141.0
2020-05-04,157.0
2020-05-05,178.0
2020-05-06,182.0
2020-05-07,215.0
2020-05-08,235.0
2020-05-09,346.0
2020-05-10,384.0
2020-05-11,420.0
2020-05-12,684.0
2020-05-13,816.0
2020-05-14,998.0
2020-05-15,1151.0
2020-05-16,1255.0
2020-05-17,1348.0
2020-05-18,1448.0
2020-05-19,1647.0
2020-05-20,1925.0
2020-05-21,2143.0
2020-05-22,2259.0
2020-05-23,2341.0
2020-05-24,2402.0
2020-05-25,2650.0
2020-05-26,3521.0
2020-05-27,4166.0
2020-05-28,4534.0
2020-05-29,4932.0
2020-05-30,5088.0
2020-05-31,5228.0
2020-06-01,5231.0
2020-06-02,5693.0
2020-06-03,6130.0
2020-06-04,6411.0
2020-06-05,6700.0
2020-06-06,6814.0
2020-06-07,6846.0
2020-06-08,6979.0
2020-06-09,7199.0
2020-06-10,7501.0
2020-06-11,7798.0
2020-06-12,8077.0
2020-06-13,8311.0
2020-06-14,8333.0
2020-06-15,8337.0
2020-06-16,8672.0
2020-06-17,9181.0
2020-06-18,9395.0
2020-06-19,9596.0
2020-06-20,9797.0
2020-06-21,9905.0
2020-06-22,10064.0
2020-06-23,10169.0
2020-06-24,10415.0
2020-06-25,10578.0
2020-06-26,10748.0
2020-06-27,10836.0
2020-06-28,11084.0
2020-06-29,11262.0
2020-06-30,11443.0
2020-07-01,11635.0
2020-07-02,11768.0
