Data,NECERSCA23003
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,2.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,5.0
2020-04-03,4.0
2020-04-04,4.0
2020-04-05,6.0
2020-04-06,8.0
2020-04-07,21.0
2020-04-08,21.0
2020-04-09,24.0
2020-04-10,24.0
2020-04-11,26.0
2020-04-12,26.0
2020-04-13,32.0
2020-04-14,44.0
2020-04-15,55.0
2020-04-16,71.0
2020-04-17,78.0
2020-04-18,97.0
2020-04-19,106.0
2020-04-20,119.0
2020-04-21,126.0
2020-04-22,135.0
2020-04-23,170.0
2020-04-24,184.0
2020-04-25,210.0
2020-04-26,223.0
2020-04-27,259.0
2020-04-28,278.0
2020-04-29,287.0
2020-04-30,290.0
2020-05-01,300.0
2020-05-02,307.0
2020-05-03,305.0
2020-05-04,447.0
2020-05-05,467.0
2020-05-06,493.0
2020-05-07,588.0
2020-05-08,620.0
2020-05-09,681.0
2020-05-10,735.0
2020-05-11,757.0
2020-05-12,785.0
2020-05-13,804.0
2020-05-14,940.0
2020-05-15,1023.0
2020-05-16,1087.0
2020-05-17,1105.0
2020-05-18,1219.0
2020-05-19,1268.0
2020-05-20,1443.0
2020-05-21,1498.0
2020-05-22,1929.0
2020-05-23,1956.0
2020-05-24,1969.0
2020-05-25,1984.0
2020-05-26,2015.0
2020-05-27,2050.0
2020-05-28,2069.0
2020-05-29,2091.0
2020-05-30,3005.0
2020-05-31,3177.0
2020-06-01,3395.0
2020-06-02,3606.0
2020-06-03,3817.0
2020-06-04,4220.0
2020-06-05,4372.0
2020-06-06,4576.0
2020-06-07,4612.0
2020-06-08,4757.0
2020-06-09,5016.0
2020-06-10,5295.0
2020-06-11,5510.0
2020-06-12,5636.0
2020-06-13,5702.0
2020-06-14,5751.0
2020-06-15,5971.0
2020-06-16,6087.0
2020-06-17,6297.0
2020-06-18,6386.0
2020-06-19,6568.0
2020-06-20,6713.0
2020-06-21,6898.0
2020-06-22,6963.0
2020-06-23,7143.0
2020-06-24,7261.0
2020-06-25,7370.0
2020-06-26,7556.0
2020-06-27,7659.0
2020-06-28,7827.0
2020-06-29,7842.0
2020-06-30,7977.0
2020-07-01,8097.0
2020-07-02,8293.0
2020-07-03,8513.0
2020-07-04,8741.0
2020-07-05,8844.0
2020-07-06,8960.0
2020-07-07,9178.0
2020-07-08,9467.0
2020-07-09,9734.0
2020-07-10,10049.0
2020-07-11,10225.0
