Data,CNMiS_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,2.0
2020-03-17,2.0
2020-03-18,3.0
2020-03-19,0.0
2020-03-20,2.0
2020-03-21,7.0
2020-03-22,5.0
2020-03-23,0.0
2020-03-24,2.0
2020-03-25,1.0
2020-03-26,1.0
2020-03-27,3.0
2020-03-28,3.0
2020-03-29,5.0
2020-03-30,8.0
2020-03-31,4.0
2020-04-01,3.0
2020-04-02,2.0
2020-04-03,7.0
2020-04-04,2.0
2020-04-05,3.0
2020-04-06,1.0
2020-04-07,14.0
2020-04-08,5.0
2020-04-09,4.0
2020-04-10,8.0
2020-04-11,3.0
2020-04-12,1.0
2020-04-13,12.0
2020-04-14,2.0
2020-04-15,6.0
2020-04-16,10.0
2020-04-17,12.0
2020-04-18,18.0
2020-04-19,7.0
2020-04-20,3.0
2020-04-21,2.0
2020-04-22,2.0
2020-04-23,11.0
2020-04-24,27.0
2020-04-25,4.0
2020-04-26,17.0
2020-04-27,4.0
2020-04-28,2.0
2020-04-29,9.0
2020-04-30,6.0
2020-05-01,6.0
2020-05-02,5.0
2020-05-03,6.0
2020-05-04,2.0
2020-05-05,9.0
2020-05-06,5.0
2020-05-07,23.0
2020-05-08,15.0
2020-05-09,20.0
2020-05-10,16.0
2020-05-11,23.0
2020-05-12,20.0
2020-05-13,25.0
2020-05-14,22.0
2020-05-15,27.0
2020-05-16,29.0
2020-05-17,62.0
2020-05-18,43.0
2020-05-19,29.0
2020-05-20,51.0
2020-05-21,53.0
2020-05-22,59.0
2020-05-23,53.0
2020-05-24,66.0
2020-05-25,99.0
2020-05-26,77.0
2020-05-27,86.0
2020-05-28,76.0
2020-05-29,94.0
2020-05-30,62.0
2020-05-31,71.0
2020-06-01,79.0
2020-06-02,78.0
2020-06-03,156.0
2020-06-04,123.0
2020-06-05,72.0
2020-06-06,135.0
2020-06-07,121.0
2020-06-08,71.0
2020-06-09,131.0
2020-06-10,142.0
2020-06-11,256.0
2020-06-12,148.0
2020-06-13,234.0
2020-06-14,198.0
2020-06-15,118.0
2020-06-16,234.0
2020-06-17,379.0
2020-06-18,110.0
2020-06-19,392.0
2020-06-20,324.0
2020-06-21,247.0
2020-06-22,154.0
2020-06-23,393.0
2020-06-24,417.0
2020-06-25,322.0
2020-06-26,390.0
2020-06-27,394.0
2020-06-28,220.0
2020-06-29,149.0
2020-06-30,289.0
2020-07-01,711.0
2020-07-02,386.0
2020-07-03,326.0
2020-07-04,522.0
2020-07-05,179.0
2020-07-06,164.0
2020-07-07,434.0
2020-07-08,376.0
2020-07-09,608.0
2020-07-10,590.0
2020-07-11,708.0
2020-07-12,228.0
2020-07-13,264.0
2020-07-14,473.0
2020-07-15,697.0
2020-07-16,699.0
2020-07-17,475.0
2020-07-18,201.0
2020-07-19,397.0
2020-07-20,234.0
2020-07-21,749.0
2020-07-22,1503.0
2020-07-23,782.0
2020-07-24,632.0
2020-07-25,712.0
2020-07-26,499.0
2020-07-27,288.0
2020-07-28,641.0
2020-07-29,968.0
2020-07-30,876.0
2020-07-31,649.0
2020-08-01,803.0
2020-08-02,264.0
2020-08-03,642.0
2020-08-04,1033.0
2020-08-05,637.0
2020-08-06,786.0
2020-08-07,887.0
2020-08-08,719.0
2020-08-09,637.0
2020-08-10,395.0
2020-08-11,823.0
2020-08-12,947.0
2020-08-13,1050.0
2020-08-14,875.0
2020-08-15,1108.0
2020-08-16,294.0
2020-08-17,589.0
2020-08-18,968.0
2020-08-19,988.0
