Data,CABiASiliaioi
2020-03-27,0
2020-03-28,82
2020-03-29,103
2020-03-30,117
2020-03-31,132
2020-04-01,153
2020-04-02,167
2020-04-03,183
2020-04-04,215
2020-04-05,243
2020-04-06,257
2020-04-07,268
2020-04-08,290
2020-04-09,312
2020-04-10,341
2020-04-11,353
2020-04-12,362
2020-04-13,388
2020-04-14,425
2020-04-15,519
2020-04-16,569
2020-04-17,642
2020-04-18,759
2020-04-19,762
2020-04-20,821
2020-04-21,922
2020-04-22,1034
2020-04-23,1131
2020-04-24,1218
2020-04-25,1303
2020-04-26,1357
2020-04-27,1430
2020-04-28,1578
2020-04-29,1639
2020-04-30,1784
2020-05-01,1995
2020-05-02,2100
2020-05-03,2247
2020-05-04,2370
2020-05-05,2599
2020-05-06,2746
2020-05-07,2877
2020-05-08,3129
2020-05-09,3342
2020-05-10,3670
2020-05-11,3884
2020-05-12,4107
2020-05-13,4349
2020-05-14,4619
2020-05-15,4842
2020-05-16,5267
2020-05-17,5317
2020-05-18,5326
2020-05-19,7106
2020-05-20,7169
2020-05-21,7578
2020-05-22,7860
2020-05-23,8084
2020-05-24,8734
2020-05-25,8941
2020-05-26,9227
2020-05-27,9472
2020-05-28,10006
2020-05-29,10485
2020-05-30,10791
2020-05-31,11218
2020-06-01,11499
2020-06-02,12954
2020-06-03,13367
2020-06-04,13801
2020-06-05,15260
2020-06-06,15724
2020-06-07,16099
2020-06-08,16323
2020-06-09,17224
2020-06-10,18201
2020-06-11,18784
2020-06-12,19093
2020-06-13,19732
2020-06-14,19893
2020-06-15,20638
2020-06-16,21203
2020-06-17,21955
2020-06-18,22254
