Data,CARiNMisioioi
43918.0,14.0
43919.0,16.0
43920.0,16.0
43921.0,17.0
43922.0,20.0
43923.0,21.0
43924.0,43.0
43925.0,53.0
43926.0,58.0
43927.0,59.0
43928.0,63.0
43929.0,63.0
43930.0,63.0
43931.0,63.0
43932.0,65.0
43933.0,67.0
43934.0,77.0
43935.0,82.0
43936.0,84.0
43937.0,84.0
43938.0,89.0
43939.0,92.0
43940.0,94.0
43941.0,104.0
43942.0,105.0
43943.0,106.0
43944.0,106.0
43945.0,110.0
43946.0,111.0
43947.0,112.0
43948.0,112.0
43949.0,117.0
43950.0,164.0
43951.0,174.0
43952.0,184.0
43953.0,190.0
43954.0,191.0
43955.0,197.0
43956.0,254.0
43957.0,248.0
43958.0,281.0
43959.0,288.0
43960.0,296.0
43961.0,299.0
43962.0,293.0
43963.0,335.0
43964.0,419.0
43965.0,456.0
43966.0,502.0
43967.0,527.0
43968.0,538.0
43969.0,556.0
43970.0,626.0
43971.0,665.0
43972.0,705.0
43973.0,736.0
43974.0,798.0
43975.0,803.0
43976.0,813.0
43977.0,885.0
43978.0,907.0
43979.0,907.0
43980.0,986.0
43981.0,1065.0
43982.0,1065.0
43983.0,1108.0
43984.0,1129.0
43985.0,1238.0
43986.0,1251.0
