Data,CNPiI_An
43886.0,0.0
43887.0,0.0
43888.0,0.0
43889.0,0.0
43890.0,0.0
43891.0,0.0
43892.0,0.0
43893.0,0.0
43894.0,0.0
43895.0,0.0
43896.0,0.0
43897.0,0.0
43898.0,0.0
43899.0,0.0
43900.0,0.0
43901.0,0.0
43902.0,0.0
43903.0,0.0
43904.0,0.0
43905.0,0.0
43906.0,0.0
43907.0,0.0
43908.0,0.0
43909.0,0.0
43910.0,3.0
43911.0,1.0
43912.0,0.0
43913.0,2.0
43914.0,0.0
43915.0,2.0
43916.0,1.0
43917.0,0.0
43918.0,2.0
43919.0,3.0
43920.0,2.0
43921.0,2.0
43922.0,0.0
43923.0,1.0
43924.0,2.0
43925.0,1.0
43926.0,1.0
43927.0,0.0
43928.0,5.0
43929.0,3.0
43930.0,7.0
43931.0,2.0
43932.0,1.0
43933.0,3.0
43934.0,6.0
43935.0,8.0
43936.0,17.0
43937.0,16.0
43938.0,11.0
43939.0,21.0
43940.0,22.0
43941.0,13.0
43942.0,28.0
43943.0,20.0
43944.0,11.0
43945.0,39.0
43946.0,41.0
43947.0,34.0
43948.0,33.0
43949.0,44.0
43950.0,46.0
43951.0,59.0
43952.0,87.0
43953.0,65.0
43954.0,77.0
43955.0,42.0
43956.0,91.0
43957.0,74.0
43958.0,102.0
43959.0,80.0
43960.0,102.0
43961.0,45.0
43962.0,54.0
43963.0,111.0
43964.0,169.0
43965.0,172.0
43966.0,121.0
43967.0,180.0
43968.0,167.0
43969.0,35.0
43970.0,153.0
43971.0,197.0
43972.0,215.0
43973.0,222.0
43974.0,184.0
43975.0,132.0
43976.0,160.0
43977.0,170.0
43978.0,246.0
43979.0,277.0
43980.0,260.0
43981.0,242.0
43982.0,186.0
43983.0,188.0
43984.0,387.0
43985.0,322.0
43986.0,236.0
