Data,CAAiLMirici
43940.0,1.0
43941.0,2.0
43942.0,1.0
43943.0,2.0
43944.0,2.0
43945.0,3.0
43946.0,7.0
43947.0,13.0
43948.0,14.0
43949.0,17.0
43950.0,18.0
43951.0,20.0
43952.0,20.0
43953.0,23.0
43954.0,25.0
43955.0,25.0
43956.0,29.0
43957.0,30.0
43958.0,33.0
43959.0,38.0
43960.0,40.0
43961.0,41.0
43962.0,41.0
43963.0,45.0
43964.0,49.0
43965.0,49.0
43966.0,56.0
43967.0,56.0
43968.0,56.0
43969.0,56.0
43970.0,60.0
43971.0,63.0
43972.0,65.0
43973.0,67.0
43974.0,68.0
43975.0,71.0
43976.0,72.0
43977.0,72.0
43978.0,78.0
43979.0,85.0
43980.0,86.0
43981.0,93.0
43982.0,94.0
43983.0,94.0
43984.0,96.0
43985.0,97.0
43986.0,105.0
