Data,CAAiP_An
43886.0,0.0
43887.0,0.0
43888.0,0.0
43889.0,0.0
43890.0,0.0
43891.0,0.0
43892.0,0.0
43893.0,0.0
43894.0,0.0
43895.0,0.0
43896.0,0.0
43897.0,0.0
43898.0,0.0
43899.0,0.0
43900.0,0.0
43901.0,0.0
43902.0,0.0
43903.0,0.0
43904.0,0.0
43905.0,0.0
43906.0,0.0
43907.0,0.0
43908.0,0.0
43909.0,0.0
43910.0,1.0
43911.0,1.0
43912.0,1.0
43913.0,1.0
43914.0,1.0
43915.0,1.0
43916.0,2.0
43917.0,2.0
43918.0,4.0
43919.0,4.0
43920.0,8.0
43921.0,10.0
43922.0,11.0
43923.0,11.0
43924.0,19.0
43925.0,28.0
43926.0,29.0
43927.0,34.0
43928.0,48.0
43929.0,107.0
43930.0,128.0
43931.0,166.0
43932.0,193.0
43933.0,230.0
43934.0,242.0
43935.0,307.0
43936.0,334.0
43937.0,362.0
43938.0,370.0
43939.0,393.0
43940.0,416.0
43941.0,433.0
43942.0,457.0
43943.0,479.0
43944.0,548.0
43945.0,633.0
43946.0,685.0
43947.0,798.0
43948.0,842.0
43949.0,918.0
43950.0,1016.0
43951.0,1080.0
43952.0,1121.0
43953.0,1187.0
43954.0,1482.0
43955.0,1733.0
43956.0,1931.0
43957.0,2046.0
43958.0,2199.0
43959.0,2322.0
43960.0,2493.0
43961.0,2613.0
43962.0,2671.0
43963.0,2910.0
43964.0,3005.0
43965.0,3428.0
43966.0,3630.0
43967.0,3834.0
43968.0,3952.0
43969.0,4023.0
43970.0,4310.0
43971.0,4549.0
43972.0,5188.0
43973.0,5655.0
43974.0,6091.0
43975.0,6353.0
43976.0,6584.0
43977.0,6967.0
43978.0,7619.0
43979.0,8152.0
43980.0,8469.0
43981.0,9313.0
43982.0,9602.0
43983.0,9890.0
43984.0,10511.0
43985.0,11107.0
43986.0,11551.0
